timepoint,cd_name,empty_slots,free_bikes,slots
4,Midtown (CD5),1484,2659,4692
4,Morningside Heights and Hamilton Heights (CD9),561,343,1005
4,Morrisania and Crotona (CD3),329,428,832
4,Mott Haven and Melrose (CD1),448,582,1115
4,Park Slope and Carroll Gardens (CD6),753,1130,2079
4,Ridgewood and Maspeth (CD5),761,550,1380
4,South Crown Heights and Lefferts Gardens (CD9),456,578,1074
4,Stuyvesant Town and Turtle Bay (CD6),1292,912,2483
4,Sunset Park (CD7),542,1038,1648
4,Upper East Side (CD8),1316,546,2063
4,Upper West Side (CD7),1367,194,1814
4,Washington Heights and Inwood (CD12),592,547,1236
4,Woodside and Sunnyside (CD2),945,1092,2154
5,Bay Ridge and Dyker Heights (CD10),22,65,93
5,Bedford Stuyvesant (CD3),982,310,1404
5,Belmont and East Tremont (CD6),3,28,35
5,Borough Park (CD12),32,160,202
5,Brownsville (CD16),319,68,403
5,Bushwick (CD4),853,325,1255
5,Central Harlem (CD10),515,474,1085
5,Clinton and Chelsea (CD4),1512,995,2921
5,Crown Heights and Prospect Heights (CD8),871,239,1204
5,East Flatbush (CD17),38,530,591
5,East Harlem (CD11),481,580,1160
5,East New York and Starrett City (CD5),11,9,21
5,Elmhurst and Corona (CD4),143,439,600
5,Financial District (CD1),509,2106,2869
5,Flatbush and Midwood (CD14),63,363,461
5,Fordham and University Heights (CD5),571,228,860
5,Fort Greene and Brooklyn Heights (CD2),1207,1890,3365
5,Greenpoint and Williamsburg (CD1),1385,1801,3415
5,Greenwich Village and Soho (CD2),819,2000,3161
5,Highbridge and Concourse (CD4),588,601,1294
5,Hunts Point and Longwood (CD2),219,202,449
5,Jackson Heights (CD3),885,676,1632
5,Kingsbridge Heights and Bedford (CD7),482,357,930
5,Long Island City and Astoria (CD1),1410,1411,2984
5,Lower East Side and Chinatown (CD3),1773,1053,3096
5,Midtown (CD5),1548,2583,4692
5,Morningside Heights and Hamilton Heights (CD9),596,306,1005
5,Morrisania and Crotona (CD3),332,422,832
5,Mott Haven and Melrose (CD1),457,574,1115
5,Park Slope and Carroll Gardens (CD6),756,1124,2079
5,Ridgewood and Maspeth (CD5),766,544,1380
5,South Crown Heights and Lefferts Gardens (CD9),477,558,1074
5,Stuyvesant Town and Turtle Bay (CD6),1315,882,2483
5,Sunset Park (CD7),539,1046,1648
5,Upper East Side (CD8),1359,510,2063
5,Upper West Side (CD7),1314,243,1814
5,Washington Heights and Inwood (CD12),593,544,1236
5,Woodside and Sunnyside (CD2),957,1078,2154
6,Bay Ridge and Dyker Heights (CD10),23,64,93
6,Bedford Stuyvesant (CD3),990,298,1404
6,Belmont and East Tremont (CD6),10,21,35
6,Borough Park (CD12),31,161,202
6,Brownsville (CD16),319,70,403
6,Bushwick (CD4),861,318,1255
6,Central Harlem (CD10),493,496,1085
6,Clinton and Chelsea (CD4),1535,979,2921
6,Crown Heights and Prospect Heights (CD8),861,248,1204
6,East Flatbush (CD17),37,531,591
6,East Harlem (CD11),503,555,1160
6,East New York and Starrett City (CD5),12,8,21
6,Elmhurst and Corona (CD4),147,435,600
6,Financial District (CD1),521,2094,2869
6,Flatbush and Midwood (CD14),71,355,461
6,Fordham and University Heights (CD5),567,231,860
6,Fort Greene and Brooklyn Heights (CD2),1277,1815,3365
6,Greenpoint and Williamsburg (CD1),1365,1814,3415
6,Greenwich Village and Soho (CD2),827,1996,3161
6,Highbridge and Concourse (CD4),586,601,1294
6,Hunts Point and Longwood (CD2),222,199,449
6,Jackson Heights (CD3),883,677,1632
6,Kingsbridge Heights and Bedford (CD7),475,363,930
6,Long Island City and Astoria (CD1),1419,1400,2984
6,Lower East Side and Chinatown (CD3),1745,1070,3096
6,Midtown (CD5),1640,2479,4692
6,Morningside Heights and Hamilton Heights (CD9),610,288,1005
6,Morrisania and Crotona (CD3),359,397,832
6,Mott Haven and Melrose (CD1),473,555,1115
6,Park Slope and Carroll Gardens (CD6),745,1128,2079
6,Ridgewood and Maspeth (CD5),754,555,1380
6,South Crown Heights and Lefferts Gardens (CD9),470,563,1074
6,Stuyvesant Town and Turtle Bay (CD6),1363,832,2483
6,Sunset Park (CD7),548,1035,1648
6,Upper East Side (CD8),1345,516,2063
6,Upper West Side (CD7),1304,241,1814
6,Washington Heights and Inwood (CD12),590,547,1236
6,Woodside and Sunnyside (CD2),966,1062,2154
7,Bay Ridge and Dyker Heights (CD10),20,67,93
7,Bedford Stuyvesant (CD3),994,294,1404
7,Belmont and East Tremont (CD6),15,16,35
7,Borough Park (CD12),32,160,202
7,Brownsville (CD16),319,69,403
7,Bushwick (CD4),875,304,1255
7,Central Harlem (CD10),480,506,1085
7,Clinton and Chelsea (CD4),1513,993,2921
7,Crown Heights and Prospect Heights (CD8),853,253,1204
7,East Flatbush (CD17),36,531,591
7,East Harlem (CD11),497,561,1160
7,East New York and Starrett City (CD5),11,9,21
7,Elmhurst and Corona (CD4),142,437,600
7,Financial District (CD1),586,2033,2869
7,Flatbush and Midwood (CD14),71,354,461
7,Fordham and University Heights (CD5),558,232,860
7,Fort Greene and Brooklyn Heights (CD2),1297,1784,3365
7,Greenpoint and Williamsburg (CD1),1338,1843,3415
7,Greenwich Village and Soho (CD2),841,1969,3161
7,Highbridge and Concourse (CD4),589,602,1294
7,Hunts Point and Longwood (CD2),220,201,449
7,Jackson Heights (CD3),885,677,1632
7,Kingsbridge Heights and Bedford (CD7),463,374,930
7,Long Island City and Astoria (CD1),1394,1420,2984
7,Lower East Side and Chinatown (CD3),1640,1171,3096
7,Midtown (CD5),1870,2243,4692
7,Morningside Heights and Hamilton Heights (CD9),634,268,1005
7,Morrisania and Crotona (CD3),355,401,832
7,Mott Haven and Melrose (CD1),490,535,1115
7,Park Slope and Carroll Gardens (CD6),731,1135,2079
7,Ridgewood and Maspeth (CD5),719,589,1380
7,South Crown Heights and Lefferts Gardens (CD9),464,565,1074
7,Stuyvesant Town and Turtle Bay (CD6),1465,717,2483
7,Sunset Park (CD7),535,1045,1648
7,Upper East Side (CD8),1319,542,2063
7,Upper West Side (CD7),1238,303,1814
7,Washington Heights and Inwood (CD12),591,547,1236
7,Woodside and Sunnyside (CD2),974,1060,2154
8,Bay Ridge and Dyker Heights (CD10),21,66,93
