measurement_id,measurement_name,peak_id,cf_id,mono_cf_id,peak_mz,peak_mz_nominal,peak_charge,peak_mass_deconvoluted,peak_intensity,peak_relint_bp,peak_relint_tic,peak_resolution,peak_sn,formula_json,formula_mass,formula_mass_nominal,formula_error_relative,formula_score_primary,formula_score_secondary,formula_hc,formula_oc,formula_nc,formula_sc,formula_pc,formula_dbe,formula_dbe_o,peak_kmd_ch2,peak_kmd_co2,peak_kmd_h2,peak_kmd_nh2,formula_ai,formula_ai_mod,formula_ai_con,formula_xc,formula_nosc,formula_f_star,formula_z_x,formula_dbe_div_c,formula_dbe_div_h,formula_dbe_div_o,formula_feature,peak_kmd_div_zstar,peak_zstar,formula_string,formula_class,C,H,O,Na,S,N,occurrence_count,peak_intensity_rank,measurement_rank
25586,CBZ_dark_1,239260965,4799000,4799000,167.104257,167,1,166.0969805479,55603392,0.0109343803520133,0.00907925991875861,1130168.4,1380.87,"[{""C"":8,""H"":15,""O"":2,""Na"":1}]",166.096974,166,-0.03942215,1,,1.875,0.25,0,0,0,1,-1,0.0823338684064368,0.857107312562988,0.193186620512506,0.0910681774653312,0,0.0714285714285714,0.0714285714285714,0,-1.375,-1.5,-1 (Na1 O2),0.125,0.0666666666666667,0.5,,-0.0823338684064368,-1,C8 H15 O2 Na1,CHNO,8,15,2,1,,,2,5,1
25586,CBZ_dark_1,239261095,5063000,5063000,169.047133,169,1,168.0398565479,1762738.3,0.000346641640734101,0.000287830627211568,1132573.9,41.88,"[{""C"":6,""H"":9,""O"":4,""Na"":1}]",168.03985305,168,-0.0208159,1,,1.5,0.667,0,0,0,2,-2,0.141627309966793,0.913782105874787,0.265395646572898,0.150463170474751,0,0.125,0.125,0,-0.166666666666667,-8.5,-3 (Na1 O4),0.333333333333333,0.222222222222222,0.5,,-0.0108944084589841,-13,C6 H9 O4 Na1,CHNO,6,9,4,1,,,2,97,2
25586,CBZ_dark_1,239261098,5102000,5102000,169.083515,169,1,168.0762385479,7069091.5,0.0013901334509266,0.00115428424075256,1116251.3,173.85,"[{""C"":7,""H"":13,""O"":3,""Na"":1}]",168.07623856,168,0.00007199,1,,1.857,0.429,0,0,0,1,-2,0.105285934598953,0.877391694098776,0.22929612647286,0.11412369674386,0,0,0,0,-1,-8.5,-1 (Na1 O3),0.142857142857143,0.0769230769230769,0.333333333333333,,-0.00809891804607332,-13,C7 H13 O3 Na1,CHNO,7,13,3,1,,,2,25,1
25586,CBZ_dark_1,239261101,5108000,5108000,169.098712,169,1,168.0914355479,259447.7,0.0000510202656926946,0.0000423641979184311,888277.7,4.5,"[{""C"":11,""H"":13,""Na"":1}]",168.0914947,168,0.35190418,1,,1.182,0,0,0,0,5,5,0.09010590377423,0.862191180444768,0.214217120179626,0.0989444602453773,0.5,0.5,0.5,2.63636363636364,-1.18181818181818,-1.5,-9 (Na1),0.454545454545455,0.384615384615385,0,,-0.00693122336724846,-13,C11 H13 Na1,CHN,11,13,,1,,,1,481,1
25586,CBZ_dark_1,239261103,5117000,5117000,169.1199,169,1,168.1126235479,9049124,0.00177950589180841,0.00147759598610597,1089683.1,223.09,"[{""C"":8,""H"":17,""O"":2,""Na"":1}]",168.11262406,168,0.00304617,1,,2.125,0.25,0,0,0,0,-2,0.0689415625809602,0.84099828162914,0.193193629665672,0.0777812265196474,0,0,-0.0714285714285714,0,-1.625,-8.5,1 (Na1 O2),0,0,0,,-0.00530319712161232,-13,C8 H17 O2 Na1,CHNO,8,17,2,1,,,2,19,1
25586,CBZ_dark_1,239261220,5410000,5410000,171.062789,171,1,170.0555125479,1107413.9,0.000217772411972753,0.000180825274755651,1261142.5,25.58,"[{""C"":6,""H"":11,""O"":4,""Na"":1}]",170.05550311,170,-0.05549894,1,,1.833,0.667,0,0,0,1,-3,0.128222018657283,0.897660071935292,0.265389756661619,0.13716323472454,0,0,-0.125,0,-0.5,-8.5,-1 (Na1 O4),0.166666666666667,0.0909090909090909,0.25,,-0.0116565471506621,-11,C6 H11 O4 Na1,CHNO,6,11,4,1,,,2,141,2
25586,CBZ_dark_1,239261224,5439000,5439000,171.099171,171,1,170.0918945479,66669368,0.0131104992217084,0.0108861797620434,1071140.3,1656.07,"[{""C"":7,""H"":15,""O"":3,""Na"":1}]",170.09188862,170,-0.03485116,1,,2.143,0.429,0,0,0,0,-3,0.0918806432894428,0.86126966015928,0.22929023656161,0.100823760993677,0,0,-0.181818181818182,0,-1.28571428571429,-8.5,1 (Na1 O3),0,0,0,,-0.00835278575358571,-11,C7 H15 O3 Na1,CHNO,7,15,3,1,,,2,2,1
25586,CBZ_dark_1,239261335,5738000,5738000,173.042056,173,1,172.0347795479,535727.1,0.000105350477112639,0.0000874767781509227,1177047.4,11.36,"[{""C"":5,""H"":9,""O"":5,""Na"":1}]",172.03476767,172,-0.0690436,1,,1.8,1,0,0,0,1,-4,0.151165094899312,0.917935451390264,0.301490332500492,0.160209764523046,0,0,-0.166666666666667,0,0.2,-8.5,-1 (Na1 O5),0.2,0.111111111111111,0.2,,-0.0167961216554791,-9,C5 H9 O5 Na1,CHNO,5,9,5,1,,,2,334,1
25586,CBZ_dark_1,239261338,5758000,5758000,173.057307,173,1,172.0500305479,419632.4,0.0000825205100729862,0.0000685201296700116,1480690.9,8.48,"[{""C"":9,""H"":9,""O"":2,""Na"":1}]",172.05002381,172,-0.03916245,1,,1,0.222,0,0,0,5,3,0.135931124371723,0.902680925251047,0.286357745478171,0.1449765911442,0.5,0.5625,0.5625,2.55555555555556,-0.555555555555555,-1.5,-9 (Na1 O2),0.555555555555556,0.555555555555556,2.5,,-0.0151034582635248,-9,C9 H9 O2 Na1,CHNO,9,9,2,1,,,2,439,1
25586,CBZ_dark_1,239261341,5774000,5774000,173.078429,173,1,172.0711525479,11764802,0.00231354266721942,0.0019210284014819,963131.4,290.62,"[{""C"":6,""H"":13,""O"":4,""Na"":1}]",172.07115318,172,0.00367348,1,,2.167,0.667,0,0,0,0,-4,0.114832709481959,0.881554041695125,0.265399742521964,0.123879280272263,0,0,-0.375,0,-0.833333333333333,-8.5,1 (Na1 O4),0,0,0,,-0.0127591899424399,-9,C6 H13 O4 Na1,CHNO,6,13,4,1,,,2,14,1
