measurement_id,formula_string,formula_class,C,H,O,N,S
7937,C10 H5 N1 O7,CHNO,10,5,7,1,0
7937,C7 H8 O5,CHO,7,8,5,0,0
7937,C16 H8 O4 S1,CHOS,16,8,4,0,1
7937,C26 H32 O9,CHO,26,32,9,0,0
7937,C15 H19 N1 O7,CHNO,15,19,7,1,0
7937,C16 H12 O11,CHO,16,12,11,0,0
7937,C16 H8 O5,CHO,16,8,5,0,0
7937,C21 H18 O5,CHO,21,18,5,0,0
7937,C18 H26 O11,CHO,18,26,11,0,0
7937,C7 H12 O4,CHO,7,12,4,0,0
7937,C24 H30 O14,CHO,24,30,14,0,0
7937,C19 H17 N1 O7,CHNO,19,17,7,1,0
7937,C7 H4 O6,CHO,7,4,6,0,0
7937,C27 H36 O10,CHO,27,36,10,0,0
7937,C25 H26 O12,CHO,25,26,12,0,0
7937,C28 H44 O9,CHO,28,44,9,0,0
7937,C19 H25 N1 O8,CHNO,19,25,8,1,0
7937,C17 H20 N2 O6,CHNO,17,20,6,2,0
7937,C13 H15 N1 O7,CHNO,13,15,7,1,0
7937,C16 H17 N1 O4,CHNO,16,17,4,1,0
7937,C7 H10 O7,CHO,7,10,7,0,0
7937,C21 H20 O10,CHO,21,20,10,0,0
7937,C23 H29 N1 O10,CHNO,23,29,10,1,0
7937,C21 H17 N1 O7,CHNO,21,17,7,1,0
7937,C29 H24 O14,CHO,29,24,14,0,0
7937,C17 H24 N2 O6,CHNO,17,24,6,2,0
7937,C18 H12 O5,CHO,18,12,5,0,0
7937,C32 H40 O12,CHO,32,40,12,0,0
7937,C27 H36 O12,CHO,27,36,12,0,0
7937,C28 H24 O11,CHO,28,24,11,0,0
7937,C14 H22 O6 S1,CHOS,14,22,6,0,1
7937,C24 H27 N1 O11,CHNO,24,27,11,1,0
7937,C19 H21 N1 O9,CHNO,19,21,9,1,0
7937,C19 H20 O6,CHO,19,20,6,0,0
7937,C19 H24 O8 S1,CHOS,19,24,8,0,1
7937,C20 H39 N1 O4,CHNO,20,39,4,1,0
7937,C8 H4 O6,CHO,8,4,6,0,0
7937,C26 H42 O7,CHO,26,42,7,0,0
7937,C35 H48 O13,CHO,35,48,13,0,0
7937,C18 H22 N2 O8,CHNO,18,22,8,2,0
7937,C25 H40 O11,CHO,25,40,11,0,0
7937,C17 H28 O7,CHO,17,28,7,0,0
7937,C23 H16 O8 S1,CHOS,23,16,8,0,1
7937,C18 H16 O5,CHO,18,16,5,0,0
7937,C10 H8 O7,CHO,10,8,7,0,0
7937,C19 H28 O11,CHO,19,28,11,0,0
7937,C24 H28 O11,CHO,24,28,11,0,0
7937,C21 H26 O11,CHO,21,26,11,0,0
7937,C30 H40 O11,CHO,30,40,11,0,0
7937,C17 H11 N1 O6,CHNO,17,11,6,1,0
7937,C17 H21 N1 O8,CHNO,17,21,8,1,0
7937,C25 H38 O11,CHO,25,38,11,0,0
7937,C28 H28 O10,CHO,28,28,10,0,0
7937,C23 H20 O6,CHO,23,20,6,0,0
7937,C14 H8 O11,CHO,14,8,11,0,0
7937,C16 H6 O8,CHO,16,6,8,0,0
7937,C24 H32 O13,CHO,24,32,13,0,0
7937,C31 H42 O11,CHO,31,42,11,0,0
7937,C14 H15 N1 O4,CHNO,14,15,4,1,0
7937,C17 H6 O9,CHO,17,6,9,0,0
7937,C16 H16 O7,CHO,16,16,7,0,0
7937,C23 H20 O13,CHO,23,20,13,0,0
7937,C10 H4 O4,CHO,10,4,4,0,0
7937,C23 H12 O9,CHO,23,12,9,0,0
7937,C17 H10 O12,CHO,17,10,12,0,0
7937,C18 H22 O9,CHO,18,22,9,0,0
7937,C19 H26 O10 S1,CHOS,19,26,10,0,1
7937,C20 H22 O11,CHO,20,22,11,0,0
7937,C14 H8 O6 S1,CHOS,14,8,6,0,1
7937,C22 H28 O12,CHO,22,28,12,0,0
7937,C9 H10 O8,CHO,9,10,8,0,0
7937,C29 H34 O8,CHO,29,34,8,0,0
7937,C18 H12 O9,CHO,18,12,9,0,0
7937,C21 H20 O12,CHO,21,20,12,0,0
7937,C18 H12 O7,CHO,18,12,7,0,0
7937,C27 H22 O15,CHO,27,22,15,0,0
7937,C17 H17 N1 O9,CHNO,17,17,9,1,0
7937,C21 H27 N1 O11,CHNO,21,27,11,1,0
7937,C24 H30 O9,CHO,24,30,9,0,0
7937,C28 H20 O12,CHO,28,20,12,0,0
7937,C20 H14 O4 S1,CHOS,20,14,4,0,1
7937,C27 H32 O9,CHO,27,32,9,0,0
7937,C20 H22 O7,CHO,20,22,7,0,0
7937,C20 H36 O5,CHO,20,36,5,0,0
7937,C8 H8 O4,CHO,8,8,4,0,0
7937,C20 H14 O14,CHO,20,14,14,0,0
7937,C9 H10 N2 O4,CHNO,9,10,4,2,0
7937,C17 H19 N1 O10,CHNO,17,19,10,1,0
7937,C23 H32 O11,CHO,23,32,11,0,0
7937,C17 H12 O10,CHO,17,12,10,0,0
7937,C15 H17 N1 O9,CHNO,15,17,9,1,0
