measurement_id,peak_relint_tic,formula_string,C,H,N,O,S,formula_mass_nominal,timepoint
21678,0.0001152112074717,C22 H18 O11 S1,22,18,0,11,1,490,1
21678,0.0001218632808059,C25 13C1 H26 O15,25,26,0,15,0,579,1
21678,8.46657236790386e-05,C30 H14 O19,30,14,0,19,0,678,1
21678,5.02205381793848e-05,C42 H76 N2 O5,42,76,2,5,0,689,1
21678,0.0004937861062776,C16 H22 O10,16,22,0,10,0,374,1
21678,0.0001079715197957,C25 H20 O20,25,20,0,20,0,640,1
21678,9.18295620260142e-05,C32 H34 O19,32,34,0,19,0,722,1
21678,1.87195272078721e-05,C17 H14 O7,17,14,0,7,0,330,1
21678,2.9525005177011e-05,C18 H12 O12 S1,18,12,0,12,1,452,1
21678,0.0002702655443551,C22 13C1 H18 O14,22,18,0,14,0,519,1
21678,0.0002597272827001,C33 H30 O21,33,30,0,21,0,762,1
21678,5.37144023847522e-05,C28 H12 O18,28,12,0,18,0,636,1
21678,1.74178829761532e-05,C14 H6 O11,14,6,0,11,0,350,1
21678,3.04373767031288e-05,C42 H82 O3 S1,42,82,0,3,1,667,1
21678,0.0001176645409399,C30 H20 O22,30,20,0,22,0,732,1
21678,0.0002197019405326,C21 H16 O17,21,16,0,17,0,540,1
21678,3.42045600422162e-05,C13 H17 N1 O8,13,17,1,8,0,315,1
21678,7.50733990578146e-05,C18 H19 N1 O9,18,19,1,9,0,393,1
21678,0.0008356220312559,C23 H20 O13,23,20,0,13,0,504,1
21678,6.11162506950628e-05,C26 H25 N1 O15,26,25,1,15,0,591,1
21678,0.0001090168456054,C36 H32 O21,36,32,0,21,0,800,1
21678,5.08207940759276e-05,C13 H6 O9,13,6,0,9,0,306,1
21678,0.0004223713475536,C22 H18 O17,22,18,0,17,0,554,1
21678,8.82567970818854e-05,C17 H11 N1 O10,17,11,1,10,0,389,1
21678,2.35167793076935e-05,C18 H10 O10 S1,18,10,0,10,1,418,1
21678,7.08733514447496e-05,C20 13C1 H22 N2 O22 S1,20,22,2,22,1,687,1
21678,7.08733514447496e-05,C28 13C1 H18 O20,28,18,0,20,0,687,1
21678,7.65433067434663e-05,C22 H28 O10,22,28,0,10,0,452,1
21678,0.0004179594449182,C15 H12 O12,15,12,0,12,0,384,1
21678,0.0010024295268049,C26 H18 O17,26,18,0,17,0,602,1
21678,0.0005343057768305,C22 H14 O16,22,14,0,16,0,534,1
21678,0.0001283723737959,C27 H30 O14,27,30,0,14,0,578,1
21678,9.1744994383364e-05,C21 H28 O10,21,28,0,10,0,440,1
21678,4.20397085421881e-05,C23 13C1 H26 O18,23,26,0,18,0,603,1
21678,3.44273129566196e-05,C19 H19 N1 O21 34S1,19,19,1,21,0,631,1
21678,3.54050718353019e-05,C30 H29 N1 O19,30,29,1,19,0,707,1
21678,0.0008448019796402,C16 H16 O12,16,16,0,12,0,400,1
21678,4.49372400921666e-05,C26 H14 N2 O13 S1,26,14,2,13,1,594,1
21678,0.0002086619399256,C23 13C1 H18 O17,23,18,0,17,0,579,1
21678,3.69543161753987e-05,C40 H74 34S1,40,74,0,0,0,589,1
21678,4.77410497701358e-05,C24 H23 N1 O17,24,23,1,17,0,597,1
21678,4.3684854332713e-05,C25 H20 N2 O12,25,20,2,12,0,540,1
21678,9.7770656880032e-05,C20 13C1 H20 O11,20,20,0,11,0,449,1
21678,0.0001099675777117,C33 H24 O18,33,24,0,18,0,708,1
21678,7.34112525556229e-05,C24 13C1 H14 O15,24,14,0,15,0,555,1
21678,0.0001018721875485,C15 H24 N2 O13 S1,15,24,2,13,1,472,1
21678,0.0001018721875485,C23 H20 O11,23,20,0,11,0,472,1
21678,5.68185579688348e-05,C37 H36 O23,37,36,0,23,0,848,1
21678,1.24218533245354e-05,C12 13C1 H10 O7,12,10,0,7,0,279,1
21678,0.0001356412678227,C33 H26 O20 34S1,33,26,0,20,0,776,1
21678,0.0001356412678227,C32 H24 O23,32,24,0,23,0,776,1
21678,2.87503830069626e-05,C40 H78 N2 O4,40,78,2,4,0,651,1
21678,0.001339687901188,C17 H16 O12,17,16,0,12,0,412,1
21678,0.0002485765595095,C20 H26 O10,20,26,0,10,0,426,1
21678,5.40195433633869e-05,C19 H8 O14,19,8,0,14,0,460,1
21678,2.21850568937949e-05,C16 H21 N1 O10,16,21,1,10,0,387,1
21678,3.80894406159199e-05,C39 H78 O11,39,78,0,11,0,723,1
