timepoint,cd_name,empty_slots,free_bikes,slots
4,Kingsbridge Heights and Bedford (CD7),522,399,1026
4,Long Island City and Astoria (CD1),1286,1589,3046
4,Lower East Side and Chinatown (CD3),1175,2304,3864
4,Midtown (CD5),3129,529,4178
4,Morningside Heights and Hamilton Heights (CD9),688,294,1094
4,Morrisania and Crotona (CD3),336,420,830
4,Mott Haven and Melrose (CD1),485,567,1151
4,Park Slope and Carroll Gardens (CD6),556,1340,2132
4,Ridgewood and Maspeth (CD5),672,642,1380
4,Riverdale and Fieldston (CD8),156,10,167
4,South Crown Heights and Lefferts Gardens (CD9),442,632,1128
4,Stuyvesant Town and Turtle Bay (CD6),1506,707,2496
4,Sunset Park (CD7),531,1097,1699
4,Upper East Side (CD8),1073,755,2088
4,Upper West Side (CD7),735,853,1884
4,Washington Heights and Inwood (CD12),786,609,1515
4,Woodside and Sunnyside (CD2),1095,1000,2218
5,Bay Ridge and Dyker Heights (CD10),22,110,146
5,Bedford Stuyvesant (CD3),804,437,1372
5,Belmont and East Tremont (CD6),298,96,425
5,Borough Park (CD12),23,218,252
5,Brownsville (CD16),345,104,459
5,Bushwick (CD4),823,531,1449
5,Central Harlem (CD10),358,627,1092
5,Clinton and Chelsea (CD4),1404,1488,3438
5,Crown Heights and Prospect Heights (CD8),621,367,1108
5,East Flatbush (CD17),19,545,589
5,East Harlem (CD11),427,671,1209
5,East New York and Starrett City (CD5),49,12,66
5,Elmhurst and Corona (CD4),297,679,1013
5,Financial District (CD1),953,1634,2809
5,Flatbush and Midwood (CD14),43,448,526
5,Fordham and University Heights (CD5),585,288,955
5,Fort Greene and Brooklyn Heights (CD2),1255,1752,3275
5,Greenpoint and Williamsburg (CD1),1035,2205,3453
5,Greenwich Village and Soho (CD2),981,1719,3060
5,Highbridge and Concourse (CD4),557,624,1289
5,Hunts Point and Longwood (CD2),224,240,491
5,Jackson Heights (CD3),914,798,1783
5,Kingsbridge Heights and Bedford (CD7),528,392,1026
5,Long Island City and Astoria (CD1),1263,1606,3046
5,Lower East Side and Chinatown (CD3),1103,2369,3864
5,Midtown (CD5),3234,450,4178
5,Morningside Heights and Hamilton Heights (CD9),698,287,1094
5,Morrisania and Crotona (CD3),334,418,830
5,Mott Haven and Melrose (CD1),481,569,1151
5,Park Slope and Carroll Gardens (CD6),538,1353,2132
5,Ridgewood and Maspeth (CD5),670,644,1380
5,Riverdale and Fieldston (CD8),156,10,167
5,South Crown Heights and Lefferts Gardens (CD9),436,633,1128
5,Stuyvesant Town and Turtle Bay (CD6),1451,774,2496
5,Sunset Park (CD7),532,1095,1699
5,Upper East Side (CD8),1106,763,2088
5,Upper West Side (CD7),721,882,1884
5,Washington Heights and Inwood (CD12),785,611,1515
5,Woodside and Sunnyside (CD2),1094,998,2218
6,Bay Ridge and Dyker Heights (CD10),22,110,146
6,Bedford Stuyvesant (CD3),768,474,1372
6,Belmont and East Tremont (CD6),295,99,425
6,Borough Park (CD12),21,220,252
6,Brownsville (CD16),346,102,459
6,Bushwick (CD4),820,538,1449
6,Central Harlem (CD10),356,630,1092
6,Clinton and Chelsea (CD4),1381,1512,3438
6,Crown Heights and Prospect Heights (CD8),606,387,1108
6,East Flatbush (CD17),21,543,589
6,East Harlem (CD11),415,684,1209
6,East New York and Starrett City (CD5),49,12,66
6,Elmhurst and Corona (CD4),297,681,1013
6,Financial District (CD1),960,1629,2809
6,Flatbush and Midwood (CD14),36,454,526
6,Fordham and University Heights (CD5),587,289,955
6,Fort Greene and Brooklyn Heights (CD2),1239,1781,3275
6,Greenpoint and Williamsburg (CD1),1058,2181,3453
6,Greenwich Village and Soho (CD2),1026,1671,3060
6,Highbridge and Concourse (CD4),565,618,1289
6,Hunts Point and Longwood (CD2),227,238,491
6,Jackson Heights (CD3),910,804,1783
