formula_string,transformation_unit,new_C,new_H,new_O,new_N,new_S,tu_C,tu_H,tu_O,tu_N,tu_S,new_formula
C16 H20 O8,-C2 -H2,18,22,8,0,0,-2,-2,0,0,0,C18 H22 O8
C16 H20 O8,-O1 -S1,16,20,9,0,1,0,0,-1,0,-1,C16 H20 O9 S1
C16 H20 O8,H1 -O2 -N1,16,19,10,1,0,0,1,-2,-1,0,C16 H19 N1 O10
C19 H24 O8,-C1,20,24,8,0,0,-1,0,0,0,0,C20 H24 O8
C19 H24 O8,-C1 -O1,20,24,9,0,0,-1,0,-1,0,0,C20 H24 O9
C19 H24 O8,-C1 -H2,20,26,8,0,0,-1,-2,0,0,0,C20 H26 O8
C19 H24 O8,-C2 -H4 -O1,21,28,9,0,0,-2,-4,-1,0,0,C21 H28 O9
C19 H24 O8,-C4 -H4 -O1,23,28,9,0,0,-4,-4,-1,0,0,C23 H28 O9
C19 H24 O8,-H2,19,26,8,0,0,0,-2,0,0,0,C19 H26 O8
C19 H24 O8,-C1 -O2,20,24,10,0,0,-1,0,-2,0,0,C20 H24 O10
C19 H24 O8,-S1,19,24,8,0,1,0,0,0,0,-1,C19 H24 O8 S1
C19 H24 O8,-H2 -O1,19,26,9,0,0,0,-2,-1,0,0,C19 H26 O9
C19 H24 O8,-C2 -H2,21,26,8,0,0,-2,-2,0,0,0,C21 H26 O8
C19 H24 O8,-O1 -S1,19,24,9,0,1,0,0,-1,0,-1,C19 H24 O9 S1
C19 H24 O8,H1 -O2 -N1,19,23,10,1,0,0,1,-2,-1,0,C19 H23 N1 O10
C10 H16 O6,-C1,11,16,6,0,0,-1,0,0,0,0,C11 H16 O6
C10 H16 O6,-C2 -H4 -O1,12,20,7,0,0,-2,-4,-1,0,0,C12 H20 O7
C10 H16 O6,-C4 -H4 -O1,14,20,7,0,0,-4,-4,-1,0,0,C14 H20 O7
C10 H16 O6,-H2,10,18,6,0,0,0,-2,0,0,0,C10 H18 O6
C10 H16 O6,-C1 -O2,11,16,8,0,0,-1,0,-2,0,0,C11 H16 O8
C10 H16 O6,-S1,10,16,6,0,1,0,0,0,0,-1,C10 H16 O6 S1
C10 H16 O6,-H2 -O1,10,18,7,0,0,0,-2,-1,0,0,C10 H18 O7
C10 H16 O6,-C2 -H2,12,18,6,0,0,-2,-2,0,0,0,C12 H18 O6
C10 H16 O6,H1 -O2 -N1,10,15,8,1,0,0,1,-2,-1,0,C10 H15 N1 O8
C15 H16 N2 O6,-C1 -O1,16,16,7,2,0,-1,0,-1,0,0,C16 H16 N2 O7
C15 H16 N2 O6,-C1 -H2,16,18,6,2,0,-1,-2,0,0,0,C16 H18 N2 O6
C15 H16 N2 O6,-C2 -H4 -O1,17,20,7,2,0,-2,-4,-1,0,0,C17 H20 N2 O7
C15 H16 N2 O6,-C4 -H4 -O1,19,20,7,2,0,-4,-4,-1,0,0,C19 H20 N2 O7
C15 H16 N2 O6,-H2,15,18,6,2,0,0,-2,0,0,0,C15 H18 N2 O6
C15 H16 N2 O6,-C1 -O2,16,16,8,2,0,-1,0,-2,0,0,C16 H16 N2 O8
C15 H16 N2 O6,-H2 -O1,15,18,7,2,0,0,-2,-1,0,0,C15 H18 N2 O7
C15 H16 N2 O6,-C2 -H2,17,18,6,2,0,-2,-2,0,0,0,C17 H18 N2 O6
C15 H16 N2 O6,H1 -O1 N1,15,15,7,1,0,0,1,-1,1,0,C15 H15 N1 O7
C20 H25 N1 O7,-C1,21,25,7,1,0,-1,0,0,0,0,C21 H25 N1 O7
C20 H25 N1 O7,-C1 -O1,21,25,8,1,0,-1,0,-1,0,0,C21 H25 N1 O8
C20 H25 N1 O7,-C1 -H2,21,27,7,1,0,-1,-2,0,0,0,C21 H27 N1 O7
C20 H25 N1 O7,-C2 -H4 -O1,22,29,8,1,0,-2,-4,-1,0,0,C22 H29 N1 O8
C20 H25 N1 O7,-H2,20,27,7,1,0,0,-2,0,0,0,C20 H27 N1 O7
C20 H25 N1 O7,-C1 -O2,21,25,9,1,0,-1,0,-2,0,0,C21 H25 N1 O9
C20 H25 N1 O7,-H2 -O1,20,27,8,1,0,0,-2,-1,0,0,C20 H27 N1 O8
C20 H25 N1 O7,-C2 -H2,22,27,7,1,0,-2,-2,0,0,0,C22 H27 N1 O7
C20 H25 N1 O7,H1 -O1 N1,20,24,8,0,0,0,1,-1,1,0,C20 H24 O8
C20 H25 N1 O7,H1 -O2 -N1,20,24,9,2,0,0,1,-2,-1,0,C20 H24 N2 O9
C19 H12 O5 S1,-C1,20,12,5,0,1,-1,0,0,0,0,C20 H12 O5 S1
C19 H12 O5 S1,-C1 -O1,20,12,6,0,1,-1,0,-1,0,0,C20 H12 O6 S1
C19 H12 O5 S1,-C1 -H2,20,14,5,0,1,-1,-2,0,0,0,C20 H14 O5 S1
C19 H12 O5 S1,-C2 -H4 -O1,21,16,6,0,1,-2,-4,-1,0,0,C21 H16 O6 S1
C19 H12 O5 S1,-C4 -H4 -O1,23,16,6,0,1,-4,-4,-1,0,0,C23 H16 O6 S1
C19 H12 O5 S1,-H2,19,14,5,0,1,0,-2,0,0,0,C19 H14 O5 S1
C19 H12 O5 S1,-C1 -O2,20,12,7,0,1,-1,0,-2,0,0,C20 H12 O7 S1
C19 H12 O5 S1,-H2 -O1,19,14,6,0,1,0,-2,-1,0,0,C19 H14 O6 S1
C19 H12 O5 S1,-C2 -H2,21,14,5,0,1,-2,-2,0,0,0,C21 H14 O5 S1
C19 H17 N1 O8,-C1,20,17,8,1,0,-1,0,0,0,0,C20 H17 N1 O8
C19 H17 N1 O8,-C1 -O1,20,17,9,1,0,-1,0,-1,0,0,C20 H17 N1 O9
C19 H17 N1 O8,-C1 -H2,20,19,8,1,0,-1,-2,0,0,0,C20 H19 N1 O8
C19 H17 N1 O8,-C2 -H4 -O1,21,21,9,1,0,-2,-4,-1,0,0,C21 H21 N1 O9
C19 H17 N1 O8,-C4 -H4 -O1,23,21,9,1,0,-4,-4,-1,0,0,C23 H21 N1 O9
C19 H17 N1 O8,-H2,19,19,8,1,0,0,-2,0,0,0,C19 H19 N1 O8
C19 H17 N1 O8,-C1 -O2,20,17,10,1,0,-1,0,-2,0,0,C20 H17 N1 O10
C19 H17 N1 O8,-H2 -O1,19,19,9,1,0,0,-2,-1,0,0,C19 H19 N1 O9
C19 H17 N1 O8,-C2 -H2,21,19,8,1,0,-2,-2,0,0,0,C21 H19 N1 O8
C19 H17 N1 O8,H1 -O1 N1,19,16,9,0,0,0,1,-1,1,0,C19 H16 O9
C20 H22 N2 O9,-C1,21,22,9,2,0,-1,0,0,0,0,C21 H22 N2 O9
C20 H22 N2 O9,-C1 -O1,21,22,10,2,0,-1,0,-1,0,0,C21 H22 N2 O10
C20 H22 N2 O9,-C1 -H2,21,24,9,2,0,-1,-2,0,0,0,C21 H24 N2 O9
C20 H22 N2 O9,-C2 -H4 -O1,22,26,10,2,0,-2,-4,-1,0,0,C22 H26 N2 O10
C20 H22 N2 O9,-H2,20,24,9,2,0,0,-2,0,0,0,C20 H24 N2 O9
C20 H22 N2 O9,-H2 -O1,20,24,10,2,0,0,-2,-1,0,0,C20 H24 N2 O10
C20 H22 N2 O9,-C2 -H2,22,24,9,2,0,-2,-2,0,0,0,C22 H24 N2 O9
C20 H22 N2 O9,H1 -O1 N1,20,21,10,1,0,0,1,-1,1,0,C20 H21 N1 O10
C25 H26 O9,-C1,26,26,9,0,0,-1,0,0,0,0,C26 H26 O9
C25 H26 O9,-C1 -O1,26,26,10,0,0,-1,0,-1,0,0,C26 H26 O10
C25 H26 O9,-C1 -H2,26,28,9,0,0,-1,-2,0,0,0,C26 H28 O9
C25 H26 O9,-C2 -H4 -O1,27,30,10,0,0,-2,-4,-1,0,0,C27 H30 O10
C25 H26 O9,-C4 -H4 -O1,29,30,10,0,0,-4,-4,-1,0,0,C29 H30 O10
C25 H26 O9,-H2,25,28,9,0,0,0,-2,0,0,0,C25 H28 O9
C25 H26 O9,-C1 -O2,26,26,11,0,0,-1,0,-2,0,0,C26 H26 O11
C25 H26 O9,-H2 -O1,25,28,10,0,0,0,-2,-1,0,0,C25 H28 O10
C25 H26 O9,-C2 -H2,27,28,9,0,0,-2,-2,0,0,0,C27 H28 O9
C25 H26 O9,H1 -O2 -N1,25,25,11,1,0,0,1,-2,-1,0,C25 H25 N1 O11
C17 H16 N2 O8,-C1,18,16,8,2,0,-1,0,0,0,0,C18 H16 N2 O8
C17 H16 N2 O8,-C1 -O1,18,16,9,2,0,-1,0,-1,0,0,C18 H16 N2 O9
C17 H16 N2 O8,-C1 -H2,18,18,8,2,0,-1,-2,0,0,0,C18 H18 N2 O8
C17 H16 N2 O8,-C2 -H4 -O1,19,20,9,2,0,-2,-4,-1,0,0,C19 H20 N2 O9
C17 H16 N2 O8,-H2,17,18,8,2,0,0,-2,0,0,0,C17 H18 N2 O8
C17 H16 N2 O8,-C1 -O2,18,16,10,2,0,-1,0,-2,0,0,C18 H16 N2 O10
C17 H16 N2 O8,-H2 -O1,17,18,9,2,0,0,-2,-1,0,0,C17 H18 N2 O9
C17 H16 N2 O8,-C2 -H2,19,18,8,2,0,-2,-2,0,0,0,C19 H18 N2 O8
C17 H16 N2 O8,H1 -O1 N1,17,15,9,1,0,0,1,-1,1,0,C17 H15 N1 O9
C24 H28 O10,-C1,25,28,10,0,0,-1,0,0,0,0,C25 H28 O10
C24 H28 O10,-C1 -O1,25,28,11,0,0,-1,0,-1,0,0,C25 H28 O11
C24 H28 O10,-C1 -H2,25,30,10,0,0,-1,-2,0,0,0,C25 H30 O10
C24 H28 O10,-C2 -H4 -O1,26,32,11,0,0,-2,-4,-1,0,0,C26 H32 O11
C24 H28 O10,-C4 -H4 -O1,28,32,11,0,0,-4,-4,-1,0,0,C28 H32 O11
C24 H28 O10,-H2,24,30,10,0,0,0,-2,0,0,0,C24 H30 O10
C24 H28 O10,-C1 -O2,25,28,12,0,0,-1,0,-2,0,0,C25 H28 O12
C24 H28 O10,-H2 -O1,24,30,11,0,0,0,-2,-1,0,0,C24 H30 O11
C24 H28 O10,-C2 -H2,26,30,10,0,0,-2,-2,0,0,0,C26 H30 O10
C24 H28 O10,H1 -O2 -N1,24,27,12,1,0,0,1,-2,-1,0,C24 H27 N1 O12
C13 H14 O2,-C1,14,14,2,0,0,-1,0,0,0,0,C14 H14 O2
C13 H14 O2,-C1 -O1,14,14,3,0,0,-1,0,-1,0,0,C14 H14 O3
C13 H14 O2,-C1 -H2,14,16,2,0,0,-1,-2,0,0,0,C14 H16 O2
C13 H14 O2,-H2,13,16,2,0,0,0,-2,0,0,0,C13 H16 O2
C13 H14 O2,H1 -O2 -N1,13,13,4,1,0,0,1,-2,-1,0,C13 H13 N1 O4
C14 H16 O2,-C1 -O1,15,16,3,0,0,-1,0,-1,0,0,C15 H16 O3
C14 H16 O2,-C2 -H4 -O1,16,20,3,0,0,-2,-4,-1,0,0,C16 H20 O3
C14 H16 O2,-C4 -H4 -O1,18,20,3,0,0,-4,-4,-1,0,0,C18 H20 O3
C14 H16 O2,H1 -O2 -N1,14,15,4,1,0,0,1,-2,-1,0,C14 H15 N1 O4
C23 H22 O12,-C1,24,22,12,0,0,-1,0,0,0,0,C24 H22 O12
C23 H22 O12,-C1 -O1,24,22,13,0,0,-1,0,-1,0,0,C24 H22 O13
C23 H22 O12,-C1 -H2,24,24,12,0,0,-1,-2,0,0,0,C24 H24 O12
C23 H22 O12,-C2 -H4 -O1,25,26,13,0,0,-2,-4,-1,0,0,C25 H26 O13
C23 H22 O12,-C4 -H4 -O1,27,26,13,0,0,-4,-4,-1,0,0,C27 H26 O13
C23 H22 O12,-C1 -O2,24,22,14,0,0,-1,0,-2,0,0,C24 H22 O14
C23 H22 O12,-H2 -O1,23,24,13,0,0,0,-2,-1,0,0,C23 H24 O13
C23 H22 O12,-C2 -H2,25,24,12,0,0,-2,-2,0,0,0,C25 H24 O12
C25 H16 O10,-C1,26,16,10,0,0,-1,0,0,0,0,C26 H16 O10
C25 H16 O10,-C1 -O1,26,16,11,0,0,-1,0,-1,0,0,C26 H16 O11
C25 H16 O10,-C1 -H2,26,18,10,0,0,-1,-2,0,0,0,C26 H18 O10
C25 H16 O10,-C2 -H4 -O1,27,20,11,0,0,-2,-4,-1,0,0,C27 H20 O11
C25 H16 O10,-H2,25,18,10,0,0,0,-2,0,0,0,C25 H18 O10
C25 H16 O10,-S1,25,16,10,0,1,0,0,0,0,-1,C25 H16 O10 S1
C25 H16 O10,-H2 -O1,25,18,11,0,0,0,-2,-1,0,0,C25 H18 O11
C25 H16 O10,-C2 -H2,27,18,10,0,0,-2,-2,0,0,0,C27 H18 O10
C13 H11 N1 O5,-C1,14,11,5,1,0,-1,0,0,0,0,C14 H11 N1 O5
C13 H11 N1 O5,-C1 -H2,14,13,5,1,0,-1,-2,0,0,0,C14 H13 N1 O5
C13 H11 N1 O5,-C2 -H4 -O1,15,15,6,1,0,-2,-4,-1,0,0,C15 H15 N1 O6
C13 H11 N1 O5,-C4 -H4 -O1,17,15,6,1,0,-4,-4,-1,0,0,C17 H15 N1 O6
C13 H11 N1 O5,-H2,13,13,5,1,0,0,-2,0,0,0,C13 H13 N1 O5
C13 H11 N1 O5,-C1 -O2,14,11,7,1,0,-1,0,-2,0,0,C14 H11 N1 O7
C13 H11 N1 O5,-H2 -O1,13,13,6,1,0,0,-2,-1,0,0,C13 H13 N1 O6
C13 H11 N1 O5,-C2 -H2,15,13,5,1,0,-2,-2,0,0,0,C15 H13 N1 O5
C13 H11 N1 O5,H1 -O1 N1,13,10,6,0,0,0,1,-1,1,0,C13 H10 O6
C13 H11 N1 O5,H1 -O2 -N1,13,10,7,2,0,0,1,-2,-1,0,C13 H10 N2 O7
C14 H6 O8,-C1,15,6,8,0,0,-1,0,0,0,0,C15 H6 O8
C14 H6 O8,-C1 -O1,15,6,9,0,0,-1,0,-1,0,0,C15 H6 O9
C14 H6 O8,-C1 -H2,15,8,8,0,0,-1,-2,0,0,0,C15 H8 O8
C14 H6 O8,-C2 -H4 -O1,16,10,9,0,0,-2,-4,-1,0,0,C16 H10 O9
C14 H6 O8,-C4 -H4 -O1,18,10,9,0,0,-4,-4,-1,0,0,C18 H10 O9
C14 H6 O8,-H2,14,8,8,0,0,0,-2,0,0,0,C14 H8 O8
C14 H6 O8,-C1 -O2,15,6,10,0,0,-1,0,-2,0,0,C15 H6 O10
C14 H6 O8,-H2 -O1,14,8,9,0,0,0,-2,-1,0,0,C14 H8 O9
C14 H6 O8,-C2 -H2,16,8,8,0,0,-2,-2,0,0,0,C16 H8 O8
C25 H18 O8 S1,-C1,26,18,8,0,1,-1,0,0,0,0,C26 H18 O8 S1
C25 H18 O8 S1,-C1 -O1,26,18,9,0,1,-1,0,-1,0,0,C26 H18 O9 S1
C25 H18 O8 S1,-C1 -H2,26,20,8,0,1,-1,-2,0,0,0,C26 H20 O8 S1
C25 H18 O8 S1,-C2 -H4 -O1,27,22,9,0,1,-2,-4,-1,0,0,C27 H22 O9 S1
C25 H18 O8 S1,-C4 -H4 -O1,29,22,9,0,1,-4,-4,-1,0,0,C29 H22 O9 S1
C25 H18 O8 S1,-H2,25,20,8,0,1,0,-2,0,0,0,C25 H20 O8 S1
C25 H18 O8 S1,-C1 -O2,26,18,10,0,1,-1,0,-2,0,0,C26 H18 O10 S1
C25 H18 O8 S1,-H2 -O1,25,20,9,0,1,0,-2,-1,0,0,C25 H20 O9 S1
C25 H18 O8 S1,-C2 -H2,27,20,8,0,1,-2,-2,0,0,0,C27 H20 O8 S1
C20 H26 O11,-C1,21,26,11,0,0,-1,0,0,0,0,C21 H26 O11
C20 H26 O11,-C1 -O1,21,26,12,0,0,-1,0,-1,0,0,C21 H26 O12
C20 H26 O11,-C1 -H2,21,28,11,0,0,-1,-2,0,0,0,C21 H28 O11
C20 H26 O11,-C2 -H4 -O1,22,30,12,0,0,-2,-4,-1,0,0,C22 H30 O12
C20 H26 O11,-C4 -H4 -O1,24,30,12,0,0,-4,-4,-1,0,0,C24 H30 O12
C20 H26 O11,-H2,20,28,11,0,0,0,-2,0,0,0,C20 H28 O11
C20 H26 O11,-C1 -O2,21,26,13,0,0,-1,0,-2,0,0,C21 H26 O13
C20 H26 O11,-S1,20,26,11,0,1,0,0,0,0,-1,C20 H26 O11 S1
C20 H26 O11,-H2 -O1,20,28,12,0,0,0,-2,-1,0,0,C20 H28 O12
C20 H26 O11,-C2 -H2,22,28,11,0,0,-2,-2,0,0,0,C22 H28 O11
C11 H9 N1 O5,-C1,12,9,5,1,0,-1,0,0,0,0,C12 H9 N1 O5
C11 H9 N1 O5,-C1 -O1,12,9,6,1,0,-1,0,-1,0,0,C12 H9 N1 O6
C11 H9 N1 O5,-C1 -H2,12,11,5,1,0,-1,-2,0,0,0,C12 H11 N1 O5
C11 H9 N1 O5,-C2 -H4 -O1,13,13,6,1,0,-2,-4,-1,0,0,C13 H13 N1 O6
C11 H9 N1 O5,-C4 -H4 -O1,15,13,6,1,0,-4,-4,-1,0,0,C15 H13 N1 O6
C11 H9 N1 O5,-H2,11,11,5,1,0,0,-2,0,0,0,C11 H11 N1 O5
C11 H9 N1 O5,-C1 -O2,12,9,7,1,0,-1,0,-2,0,0,C12 H9 N1 O7
C11 H9 N1 O5,-H2 -O1,11,11,6,1,0,0,-2,-1,0,0,C11 H11 N1 O6
C11 H9 N1 O5,-C2 -H2,13,11,5,1,0,-2,-2,0,0,0,C13 H11 N1 O5
C11 H9 N1 O5,H1 -O2 -N1,11,8,7,2,0,0,1,-2,-1,0,C11 H8 N2 O7
C18 H27 N1 O5,-C1,19,27,5,1,0,-1,0,0,0,0,C19 H27 N1 O5
C18 H27 N1 O5,-C1 -O1,19,27,6,1,0,-1,0,-1,0,0,C19 H27 N1 O6
C18 H27 N1 O5,-C1 -H2,19,29,5,1,0,-1,-2,0,0,0,C19 H29 N1 O5
C18 H27 N1 O5,-C2 -H4 -O1,20,31,6,1,0,-2,-4,-1,0,0,C20 H31 N1 O6
C18 H27 N1 O5,-C4 -H4 -O1,22,31,6,1,0,-4,-4,-1,0,0,C22 H31 N1 O6
C18 H27 N1 O5,-H2,18,29,5,1,0,0,-2,0,0,0,C18 H29 N1 O5
C18 H27 N1 O5,-C1 -O2,19,27,7,1,0,-1,0,-2,0,0,C19 H27 N1 O7
C18 H27 N1 O5,-H2 -O1,18,29,6,1,0,0,-2,-1,0,0,C18 H29 N1 O6
C18 H27 N1 O5,-C2 -H2,20,29,5,1,0,-2,-2,0,0,0,C20 H29 N1 O5
C18 H27 N1 O5,H1 -O2 -N1,18,26,7,2,0,0,1,-2,-1,0,C18 H26 N2 O7
C31 H40 O11,-C1,32,40,11,0,0,-1,0,0,0,0,C32 H40 O11
C31 H40 O11,-C1 -O1,32,40,12,0,0,-1,0,-1,0,0,C32 H40 O12
C31 H40 O11,-C1 -H2,32,42,11,0,0,-1,-2,0,0,0,C32 H42 O11
C31 H40 O11,-C2 -H4 -O1,33,44,12,0,0,-2,-4,-1,0,0,C33 H44 O12
C31 H40 O11,-C4 -H4 -O1,35,44,12,0,0,-4,-4,-1,0,0,C35 H44 O12
C31 H40 O11,-H2,31,42,11,0,0,0,-2,0,0,0,C31 H42 O11
C31 H40 O11,-C1 -O2,32,40,13,0,0,-1,0,-2,0,0,C32 H40 O13
C31 H40 O11,-H2 -O1,31,42,12,0,0,0,-2,-1,0,0,C31 H42 O12
C31 H40 O11,-C2 -H2,33,42,11,0,0,-2,-2,0,0,0,C33 H42 O11
C17 H8 O8,-C1,18,8,8,0,0,-1,0,0,0,0,C18 H8 O8
C17 H8 O8,-C1 -O1,18,8,9,0,0,-1,0,-1,0,0,C18 H8 O9
C17 H8 O8,-C1 -H2,18,10,8,0,0,-1,-2,0,0,0,C18 H10 O8
C17 H8 O8,-C2 -H4 -O1,19,12,9,0,0,-2,-4,-1,0,0,C19 H12 O9
C17 H8 O8,-C4 -H4 -O1,21,12,9,0,0,-4,-4,-1,0,0,C21 H12 O9
C17 H8 O8,-H2,17,10,8,0,0,0,-2,0,0,0,C17 H10 O8
C17 H8 O8,-C1 -O2,18,8,10,0,0,-1,0,-2,0,0,C18 H8 O10
C17 H8 O8,-H2 -O1,17,10,9,0,0,0,-2,-1,0,0,C17 H10 O9
C17 H8 O8,-C2 -H2,19,10,8,0,0,-2,-2,0,0,0,C19 H10 O8
C14 H12 O4,-C1,15,12,4,0,0,-1,0,0,0,0,C15 H12 O4
C14 H12 O4,-C1 -O1,15,12,5,0,0,-1,0,-1,0,0,C15 H12 O5
C14 H12 O4,-C1 -H2,15,14,4,0,0,-1,-2,0,0,0,C15 H14 O4
C14 H12 O4,-C4 -H4 -O1,18,16,5,0,0,-4,-4,-1,0,0,C18 H16 O5
C14 H12 O4,-C1 -O2,15,12,6,0,0,-1,0,-2,0,0,C15 H12 O6
C14 H12 O4,-O3 -S1,14,12,7,0,1,0,0,-3,0,-1,C14 H12 O7 S1
C14 H12 O4,-H2 -O1,14,14,5,0,0,0,-2,-1,0,0,C14 H14 O5
C14 H12 O4,-C2 -H2,16,14,4,0,0,-2,-2,0,0,0,C16 H14 O4
C14 H12 O4,-O1 -S1,14,12,5,0,1,0,0,-1,0,-1,C14 H12 O5 S1
C20 H24 O13,-C1,21,24,13,0,0,-1,0,0,0,0,C21 H24 O13
C20 H24 O13,-C1 -O1,21,24,14,0,0,-1,0,-1,0,0,C21 H24 O14
C20 H24 O13,-C1 -H2,21,26,13,0,0,-1,-2,0,0,0,C21 H26 O13
C20 H24 O13,-C2 -H4 -O1,22,28,14,0,0,-2,-4,-1,0,0,C22 H28 O14
C20 H24 O13,-C4 -H4 -O1,24,28,14,0,0,-4,-4,-1,0,0,C24 H28 O14
C20 H24 O13,-H2,20,26,13,0,0,0,-2,0,0,0,C20 H26 O13
C20 H24 O13,-C1 -O2,21,24,15,0,0,-1,0,-2,0,0,C21 H24 O15
C20 H24 O13,-H2 -O1,20,26,14,0,0,0,-2,-1,0,0,C20 H26 O14
C20 H24 O13,-C2 -H2,22,26,13,0,0,-2,-2,0,0,0,C22 H26 O13
C11 H8 O4,-C1,12,8,4,0,0,-1,0,0,0,0,C12 H8 O4
C11 H8 O4,-C1 -O1,12,8,5,0,0,-1,0,-1,0,0,C12 H8 O5
C11 H8 O4,-C1 -H2,12,10,4,0,0,-1,-2,0,0,0,C12 H10 O4
C11 H8 O4,-C2 -H4 -O1,13,12,5,0,0,-2,-4,-1,0,0,C13 H12 O5
C11 H8 O4,-C4 -H4 -O1,15,12,5,0,0,-4,-4,-1,0,0,C15 H12 O5
C11 H8 O4,-H2,11,10,4,0,0,0,-2,0,0,0,C11 H10 O4
C11 H8 O4,-C1 -O2,12,8,6,0,0,-1,0,-2,0,0,C12 H8 O6
C11 H8 O4,-S1,11,8,4,0,1,0,0,0,0,-1,C11 H8 O4 S1
C11 H8 O4,-O3 -S1,11,8,7,0,1,0,0,-3,0,-1,C11 H8 O7 S1
C11 H8 O4,H1 -O2 -N1,11,7,6,1,0,0,1,-2,-1,0,C11 H7 N1 O6
C17 H18 O11,-C1,18,18,11,0,0,-1,0,0,0,0,C18 H18 O11
C17 H18 O11,-C1 -O1,18,18,12,0,0,-1,0,-1,0,0,C18 H18 O12
C17 H18 O11,-C1 -H2,18,20,11,0,0,-1,-2,0,0,0,C18 H20 O11
C17 H18 O11,-C2 -H4 -O1,19,22,12,0,0,-2,-4,-1,0,0,C19 H22 O12
C17 H18 O11,-C4 -H4 -O1,21,22,12,0,0,-4,-4,-1,0,0,C21 H22 O12
C17 H18 O11,-H2,17,20,11,0,0,0,-2,0,0,0,C17 H20 O11
C17 H18 O11,-C1 -O2,18,18,13,0,0,-1,0,-2,0,0,C18 H18 O13
C17 H18 O11,-H2 -O1,17,20,12,0,0,0,-2,-1,0,0,C17 H20 O12
C17 H18 O11,-C2 -H2,19,20,11,0,0,-2,-2,0,0,0,C19 H20 O11
C24 H12 O9 S1,-C1 -H2,25,14,9,0,1,-1,-2,0,0,0,C25 H14 O9 S1
C24 H12 O9 S1,-C2 -H4 -O1,26,16,10,0,1,-2,-4,-1,0,0,C26 H16 O10 S1
C24 H12 O9 S1,-H2,24,14,9,0,1,0,-2,0,0,0,C24 H14 O9 S1
C22 H16 O6,-C1,23,16,6,0,0,-1,0,0,0,0,C23 H16 O6
C22 H16 O6,-C1 -O1,23,16,7,0,0,-1,0,-1,0,0,C23 H16 O7
C22 H16 O6,-C1 -H2,23,18,6,0,0,-1,-2,0,0,0,C23 H18 O6
C22 H16 O6,-C2 -H4 -O1,24,20,7,0,0,-2,-4,-1,0,0,C24 H20 O7
C22 H16 O6,-H2,22,18,6,0,0,0,-2,0,0,0,C22 H18 O6
C22 H16 O6,-C1 -O2,23,16,8,0,0,-1,0,-2,0,0,C23 H16 O8
C22 H16 O6,-S1,22,16,6,0,1,0,0,0,0,-1,C22 H16 O6 S1
C22 H16 O6,-H2 -O1,22,18,7,0,0,0,-2,-1,0,0,C22 H18 O7
C22 H16 O6,-C2 -H2,24,18,6,0,0,-2,-2,0,0,0,C24 H18 O6
C22 H16 O6,-O1 -S1,22,16,7,0,1,0,0,-1,0,-1,C22 H16 O7 S1
C22 H16 O6,H1 -O2 -N1,22,15,8,1,0,0,1,-2,-1,0,C22 H15 N1 O8
C16 H24 O7,-C1,17,24,7,0,0,-1,0,0,0,0,C17 H24 O7
C16 H24 O7,-C1 -O1,17,24,8,0,0,-1,0,-1,0,0,C17 H24 O8
C16 H24 O7,-C2 -H4 -O1,18,28,8,0,0,-2,-4,-1,0,0,C18 H28 O8
C16 H24 O7,-C4 -H4 -O1,20,28,8,0,0,-4,-4,-1,0,0,C20 H28 O8
C16 H24 O7,-C1 -O2,17,24,9,0,0,-1,0,-2,0,0,C17 H24 O9
C16 H24 O7,-S1,16,24,7,0,1,0,0,0,0,-1,C16 H24 O7 S1
C16 H24 O7,-H2 -O1,16,26,8,0,0,0,-2,-1,0,0,C16 H26 O8
C16 H24 O7,-C2 -H2,18,26,7,0,0,-2,-2,0,0,0,C18 H26 O7
C16 H24 O7,-O1 -S1,16,24,8,0,1,0,0,-1,0,-1,C16 H24 O8 S1
C16 H24 O7,H1 -O2 -N1,16,23,9,1,0,0,1,-2,-1,0,C16 H23 N1 O9
C6 H6 O5,-C1,7,6,5,0,0,-1,0,0,0,0,C7 H6 O5
C6 H6 O5,-C1 -O1,7,6,6,0,0,-1,0,-1,0,0,C7 H6 O6
C6 H6 O5,-C1 -H2,7,8,5,0,0,-1,-2,0,0,0,C7 H8 O5
C6 H6 O5,-C2 -H4 -O1,8,10,6,0,0,-2,-4,-1,0,0,C8 H10 O6
C6 H6 O5,-C4 -H4 -O1,10,10,6,0,0,-4,-4,-1,0,0,C10 H10 O6
C6 H6 O5,-H2,6,8,5,0,0,0,-2,0,0,0,C6 H8 O5
C6 H6 O5,-H2 -O1,6,8,6,0,0,0,-2,-1,0,0,C6 H8 O6
C6 H6 O5,-C2 -H2,8,8,5,0,0,-2,-2,0,0,0,C8 H8 O5
C15 H10 O7,-C1,16,10,7,0,0,-1,0,0,0,0,C16 H10 O7
C15 H10 O7,-C1 -O1,16,10,8,0,0,-1,0,-1,0,0,C16 H10 O8
C15 H10 O7,-C1 -H2,16,12,7,0,0,-1,-2,0,0,0,C16 H12 O7
C15 H10 O7,-C2 -H4 -O1,17,14,8,0,0,-2,-4,-1,0,0,C17 H14 O8
C15 H10 O7,-C4 -H4 -O1,19,14,8,0,0,-4,-4,-1,0,0,C19 H14 O8
C15 H10 O7,-H2,15,12,7,0,0,0,-2,0,0,0,C15 H12 O7
C15 H10 O7,-C1 -O2,16,10,9,0,0,-1,0,-2,0,0,C16 H10 O9
