formula_string,transformation_unit,is_addition,new_C,new_H,new_O,new_N,new_S,tu_C,tu_H,tu_O,tu_N,tu_S,new_formula
C24 13C1 H16 O18,C1 H3 -O1 N1,0,25,19,17,1,0,1,3,-1,1,0,C25 H19 N1 O17
C24 13C1 H16 O18,H2 O1,1,24,18,19,0,0,0,2,1,0,0,C24 H18 O19
C24 13C1 H16 O18,-H2 -O1,0,24,14,17,0,0,0,-2,-1,0,0,C24 H14 O17
C26 H22 N2 O24 S1,O1,1,26,22,25,2,1,0,0,1,0,0,C26 H22 N2 O25 S1
C26 H22 N2 O24 S1,-O1,0,26,22,23,2,1,0,0,-1,0,0,C26 H22 N2 O23 S1
C26 H22 N2 O24 S1,H2 O2,1,26,24,26,2,1,0,2,2,0,0,C26 H24 N2 O26 S1
C26 H22 N2 O24 S1,-H2 -O2,0,26,20,22,2,1,0,-2,-2,0,0,C26 H20 N2 O22 S1
C26 H22 N2 O24 S1,-H2 -O1,0,26,20,23,2,1,0,-2,-1,0,0,C26 H20 N2 O23 S1
C23 H10 O15,O1,1,23,10,16,0,0,0,0,1,0,0,C23 H10 O16
C23 H10 O15,H2 O2,1,23,12,17,0,0,0,2,2,0,0,C23 H12 O17
C23 H10 O15,H2 O1,1,23,12,16,0,0,0,2,1,0,0,C23 H12 O16
C26 H15 N1 O13 S1,O1,1,26,15,14,1,1,0,0,1,0,0,C26 H15 N1 O14 S1
C26 H15 N1 O13 S1,H2 O2,1,26,17,15,1,1,0,2,2,0,0,C26 H17 N1 O15 S1
C26 H15 N1 O13 S1,H2 O1,1,26,17,14,1,1,0,2,1,0,0,C26 H17 N1 O14 S1
C27 H14 O20,-O1,0,27,14,19,0,0,0,0,-1,0,0,C27 H14 O19
C27 H14 O20,-H2 -O2,0,27,12,18,0,0,0,-2,-2,0,0,C27 H12 O18
C27 H14 O20,H2 O1,1,27,16,21,0,0,0,2,1,0,0,C27 H16 O21
C27 H14 O20,-H2 -O1,0,27,12,19,0,0,0,-2,-1,0,0,C27 H12 O19
C17 13C1 H13 N1 O19,O1,1,17,13,20,1,0,0,0,1,0,0,C17 H13 N1 O20
C17 13C1 H13 N1 O19,C1 H3 -O1 N1,0,18,16,18,2,0,1,3,-1,1,0,C18 H16 N2 O18
C17 13C1 H13 N1 O19,H2 O1,1,17,15,20,1,0,0,2,1,0,0,C17 H15 N1 O20
C17 13C1 H13 N1 O19,-H2 -O1,0,17,11,18,1,0,0,-2,-1,0,0,C17 H11 N1 O18
C31 13C1 H24 O23,O1,1,31,24,24,0,0,0,0,1,0,0,C31 H24 O24
C31 13C1 H24 O23,-O1,0,31,24,22,0,0,0,0,-1,0,0,C31 H24 O22
C31 13C1 H24 O23,-H2 -O2,0,31,22,21,0,0,0,-2,-2,0,0,C31 H22 O21
C31 13C1 H24 O23,C1 H3 -O1 N1,0,32,27,22,1,0,1,3,-1,1,0,C32 H27 N1 O22
C31 13C1 H24 O23,H2 O1,1,31,26,24,0,0,0,2,1,0,0,C31 H26 O24
C31 13C1 H24 O23,-H2 -O1,0,31,22,22,0,0,0,-2,-1,0,0,C31 H22 O22
C28 H23 N1 O19 S1,O1,1,28,23,20,1,1,0,0,1,0,0,C28 H23 N1 O20 S1
C28 H23 N1 O19 S1,-O1,0,28,23,18,1,1,0,0,-1,0,0,C28 H23 N1 O18 S1
C28 H23 N1 O19 S1,C1 H3 -O1 N1,0,29,26,18,2,1,1,3,-1,1,0,C29 H26 N2 O18 S1
C28 H23 N1 O19 S1,H2 O1,1,28,25,20,1,1,0,2,1,0,0,C28 H25 N1 O20 S1
C21 H19 N1 O23,-O1,0,21,19,22,1,0,0,0,-1,0,0,C21 H19 N1 O22
C21 H19 N1 O23,-H2 -O1,0,21,17,22,1,0,0,-2,-1,0,0,C21 H17 N1 O22
C33 H24 O21,O1,1,33,24,22,0,0,0,0,1,0,0,C33 H24 O22
C33 H24 O21,-O1,0,33,24,20,0,0,0,0,-1,0,0,C33 H24 O20
C33 H24 O21,H2 O2,1,33,26,23,0,0,0,2,2,0,0,C33 H26 O23
C33 H24 O21,-H2 -O2,0,33,22,19,0,0,0,-2,-2,0,0,C33 H22 O19
C33 H24 O21,H2 O1,1,33,26,22,0,0,0,2,1,0,0,C33 H26 O22
C33 H24 O21,-H2 -O1,0,33,22,20,0,0,0,-2,-1,0,0,C33 H22 O20
C13 H10 O14 S1,H2 O1,1,13,12,15,0,1,0,2,1,0,0,C13 H12 O15 S1
C21 H12 O12,O1,1,21,12,13,0,0,0,0,1,0,0,C21 H12 O13
C21 H12 O12,-O1,0,21,12,11,0,0,0,0,-1,0,0,C21 H12 O11
C21 H12 O12,H2 O2,1,21,14,14,0,0,0,2,2,0,0,C21 H14 O14
C21 H12 O12,C1 H3 -O1 N1,0,22,15,11,1,0,1,3,-1,1,0,C22 H15 N1 O11
C21 H12 O12,H2 O1,1,21,14,13,0,0,0,2,1,0,0,C21 H14 O13
C20 H18 O15,O1,1,20,18,16,0,0,0,0,1,0,0,C20 H18 O16
C20 H18 O15,-O1,0,20,18,14,0,0,0,0,-1,0,0,C20 H18 O14
C20 H18 O15,H2 O2,1,20,20,17,0,0,0,2,2,0,0,C20 H20 O17
C20 H18 O15,-H2 -O2,0,20,16,13,0,0,0,-2,-2,0,0,C20 H16 O13
C20 H18 O15,C1 H3 -O1 N1,0,21,21,14,1,0,1,3,-1,1,0,C21 H21 N1 O14
C20 H18 O15,H2 O1,1,20,20,16,0,0,0,2,1,0,0,C20 H20 O16
C20 H18 O15,-H2 -O1,0,20,16,14,0,0,0,-2,-1,0,0,C20 H16 O14
C20 13C1 H20 O17,-O1,0,20,20,16,0,0,0,0,-1,0,0,C20 H20 O16
C20 13C1 H20 O17,-H2 -O2,0,20,18,15,0,0,0,-2,-2,0,0,C20 H18 O15
C20 13C1 H20 O17,-H2 -O1,0,20,18,16,0,0,0,-2,-1,0,0,C20 H18 O16
C26 H28 O19,O1,1,26,28,20,0,0,0,0,1,0,0,C26 H28 O20
C26 H28 O19,-O1,0,26,28,18,0,0,0,0,-1,0,0,C26 H28 O18
C26 H28 O19,-H2 -O2,0,26,26,17,0,0,0,-2,-2,0,0,C26 H26 O17
C26 H28 O19,-H2 -O1,0,26,26,18,0,0,0,-2,-1,0,0,C26 H26 O18
C37 H74 O5,O1,1,37,74,6,0,0,0,0,1,0,0,C37 H74 O6
C37 H74 O5,-O1,0,37,74,4,0,0,0,0,-1,0,0,C37 H74 O4
C37 H74 O5,-H2 -O2,0,37,72,3,0,0,0,-2,-2,0,0,C37 H72 O3
C37 H74 O5,-H2 -O1,0,37,72,4,0,0,0,-2,-1,0,0,C37 H72 O4
C20 H20 N2 O17,O1,1,20,20,18,2,0,0,0,1,0,0,C20 H20 N2 O18
C20 H20 N2 O17,-C1 -H3 O1 -N1,1,19,17,18,1,0,-1,-3,1,-1,0,C19 H17 N1 O18
C15 H12 O10,O1,1,15,12,11,0,0,0,0,1,0,0,C15 H12 O11
C15 H12 O10,-O1,0,15,12,9,0,0,0,0,-1,0,0,C15 H12 O9
C15 H12 O10,H2 O2,1,15,14,12,0,0,0,2,2,0,0,C15 H14 O12
C15 H12 O10,-H2 -O2,0,15,10,8,0,0,0,-2,-2,0,0,C15 H10 O8
C15 H12 O10,C1 H3 -O1 N1,0,16,15,9,1,0,1,3,-1,1,0,C16 H15 N1 O9
C15 H12 O10,H2 O1,1,15,14,11,0,0,0,2,1,0,0,C15 H14 O11
C15 H12 O10,-H2 -O1,0,15,10,9,0,0,0,-2,-1,0,0,C15 H10 O9
C22 H19 N1 O21 S1,H2 O2,1,22,21,23,1,1,0,2,2,0,0,C22 H21 N1 O23 S1
C22 H19 N1 O21 S1,C1 H3 -O1 N1,0,23,22,20,2,1,1,3,-1,1,0,C23 H22 N2 O20 S1
C28 13C1 H22 O21,O1,1,28,22,22,0,0,0,0,1,0,0,C28 H22 O22
C28 13C1 H22 O21,-O1,0,28,22,20,0,0,0,0,-1,0,0,C28 H22 O20
C28 13C1 H22 O21,-H2 -O2,0,28,20,19,0,0,0,-2,-2,0,0,C28 H20 O19
C28 13C1 H22 O21,H2 O1,1,28,24,22,0,0,0,2,1,0,0,C28 H24 O22
C28 13C1 H22 O21,-H2 -O1,0,28,20,20,0,0,0,-2,-1,0,0,C28 H20 O20
C14 H20 O7,O1,1,14,20,8,0,0,0,0,1,0,0,C14 H20 O8
C14 H20 O7,-O1,0,14,20,6,0,0,0,0,-1,0,0,C14 H20 O6
C14 H20 O7,H2 O2,1,14,22,9,0,0,0,2,2,0,0,C14 H22 O9
C14 H20 O7,H2 O1,1,14,22,8,0,0,0,2,1,0,0,C14 H22 O8
C14 H20 O7,-H2 -O1,0,14,18,6,0,0,0,-2,-1,0,0,C14 H18 O6
C9 13C1 H6 O8,O1,1,9,6,9,0,0,0,0,1,0,0,C9 H6 O9
C9 13C1 H6 O8,-H2 -O2,0,9,4,6,0,0,0,-2,-2,0,0,C9 H4 O6
C9 13C1 H6 O8,C1 H3 -O1 N1,0,10,9,7,1,0,1,3,-1,1,0,C10 H9 N1 O7
C9 13C1 H6 O8,H2 O1,1,9,8,9,0,0,0,2,1,0,0,C9 H8 O9
C9 13C1 H6 O8,-H2 -O1,0,9,4,7,0,0,0,-2,-1,0,0,C9 H4 O7
C26 13C1 H18 O18,O1,1,26,18,19,0,0,0,0,1,0,0,C26 H18 O19
C26 13C1 H18 O18,-O1,0,26,18,17,0,0,0,0,-1,0,0,C26 H18 O17
C26 13C1 H18 O18,H2 O2,1,26,20,20,0,0,0,2,2,0,0,C26 H20 O20
C26 13C1 H18 O18,-H2 -O2,0,26,16,16,0,0,0,-2,-2,0,0,C26 H16 O16
C26 13C1 H18 O18,C1 H3 -O1 N1,0,27,21,17,1,0,1,3,-1,1,0,C27 H21 N1 O17
C26 13C1 H18 O18,H2 O1,1,26,20,19,0,0,0,2,1,0,0,C26 H20 O19
C26 13C1 H18 O18,-H2 -O1,0,26,16,17,0,0,0,-2,-1,0,0,C26 H16 O17
C18 13C1 H22 O13,O1,1,18,22,14,0,0,0,0,1,0,0,C18 H22 O14
C18 13C1 H22 O13,-O1,0,18,22,12,0,0,0,0,-1,0,0,C18 H22 O12
C18 13C1 H22 O13,-H2 -O2,0,18,20,11,0,0,0,-2,-2,0,0,C18 H20 O11
C18 13C1 H22 O13,-H2 -O1,0,18,20,12,0,0,0,-2,-1,0,0,C18 H20 O12
C24 13C1 H28 O15,O1,1,24,28,16,0,0,0,0,1,0,0,C24 H28 O16
C24 13C1 H28 O15,-O1,0,24,28,14,0,0,0,0,-1,0,0,C24 H28 O14
C24 13C1 H28 O15,H2 O2,1,24,30,17,0,0,0,2,2,0,0,C24 H30 O17
C24 13C1 H28 O15,-H2 -O2,0,24,26,13,0,0,0,-2,-2,0,0,C24 H26 O13
C24 13C1 H28 O15,H2 O1,1,24,30,16,0,0,0,2,1,0,0,C24 H30 O16
C24 13C1 H28 O15,-H2 -O1,0,24,26,14,0,0,0,-2,-1,0,0,C24 H26 O14
C15 H18 O12,O1,1,15,18,13,0,0,0,0,1,0,0,C15 H18 O13
C15 H18 O12,-O1,0,15,18,11,0,0,0,0,-1,0,0,C15 H18 O11
C15 H18 O12,-H2 -O2,0,15,16,10,0,0,0,-2,-2,0,0,C15 H16 O10
C15 H18 O12,-H2 -O1,0,15,16,11,0,0,0,-2,-1,0,0,C15 H16 O11
C18 H18 N2 O11,-O1,0,18,18,10,2,0,0,0,-1,0,0,C18 H18 N2 O10
C18 H18 N2 O11,-C1 -H3 O1 -N1,1,17,15,12,1,0,-1,-3,1,-1,0,C17 H15 N1 O12
C18 H18 N2 O11,-H2 -O1,0,18,16,10,2,0,0,-2,-1,0,0,C18 H16 N2 O10
C31 H28 O22,-O1,0,31,28,21,0,0,0,0,-1,0,0,C31 H28 O21
C31 H28 O22,H2 O2,1,31,30,24,0,0,0,2,2,0,0,C31 H30 O24
C31 H28 O22,-H2 -O2,0,31,26,20,0,0,0,-2,-2,0,0,C31 H26 O20
C31 H28 O22,H2 O1,1,31,30,23,0,0,0,2,1,0,0,C31 H30 O23
C31 H28 O22,-H2 -O1,0,31,26,21,0,0,0,-2,-1,0,0,C31 H26 O21
C24 H28 N2 O22 S1,-O1,0,24,28,21,2,1,0,0,-1,0,0,C24 H28 N2 O21 S1
C24 H28 N2 O22 S1,-H2 -O2,0,24,26,20,2,1,0,-2,-2,0,0,C24 H26 N2 O20 S1
C32 H24 O20,O1,1,32,24,21,0,0,0,0,1,0,0,C32 H24 O21
C32 H24 O20,-O1,0,32,24,19,0,0,0,0,-1,0,0,C32 H24 O19
C32 H24 O20,H2 O2,1,32,26,22,0,0,0,2,2,0,0,C32 H26 O22
C32 H24 O20,-H2 -O2,0,32,22,18,0,0,0,-2,-2,0,0,C32 H22 O18
C32 H24 O20,C1 H3 -O1 N1,0,33,27,19,1,0,1,3,-1,1,0,C33 H27 N1 O19
C32 H24 O20,H2 O1,1,32,26,21,0,0,0,2,1,0,0,C32 H26 O21
C32 H24 O20,-H2 -O1,0,32,22,19,0,0,0,-2,-1,0,0,C32 H22 O19
C27 H24 O21,O1,1,27,24,22,0,0,0,0,1,0,0,C27 H24 O22
C27 H24 O21,-O1,0,27,24,20,0,0,0,0,-1,0,0,C27 H24 O20
C27 H24 O21,-H2 -O2,0,27,22,19,0,0,0,-2,-2,0,0,C27 H22 O19
C27 H24 O21,-H2 -O1,0,27,22,20,0,0,0,-2,-1,0,0,C27 H22 O20
C27 H22 O16,O1,1,27,22,17,0,0,0,0,1,0,0,C27 H22 O17
C27 H22 O16,-O1,0,27,22,15,0,0,0,0,-1,0,0,C27 H22 O15
C27 H22 O16,H2 O2,1,27,24,18,0,0,0,2,2,0,0,C27 H24 O18
C27 H22 O16,-H2 -O2,0,27,20,14,0,0,0,-2,-2,0,0,C27 H20 O14
C27 H22 O16,C1 H3 -O1 N1,0,28,25,15,1,0,1,3,-1,1,0,C28 H25 N1 O15
C27 H22 O16,H2 O1,1,27,24,17,0,0,0,2,1,0,0,C27 H24 O17
C27 H22 O16,-H2 -O1,0,27,20,15,0,0,0,-2,-1,0,0,C27 H20 O15
C16 13C1 H14 O15,-O1,0,16,14,14,0,0,0,0,-1,0,0,C16 H14 O14
C16 13C1 H14 O15,-H2 -O2,0,16,12,13,0,0,0,-2,-2,0,0,C16 H12 O13
C16 13C1 H14 O15,-H2 -O1,0,16,12,14,0,0,0,-2,-1,0,0,C16 H12 O14
C15 H18 O13,-O1,0,15,18,12,0,0,0,0,-1,0,0,C15 H18 O12
C15 H18 O13,-H2 -O2,0,15,16,11,0,0,0,-2,-2,0,0,C15 H16 O11
C15 H18 O13,-H2 -O1,0,15,16,12,0,0,0,-2,-1,0,0,C15 H16 O12
C20 H12 O14 S1,-H2 -O1,0,20,10,13,0,1,0,-2,-1,0,0,C20 H10 O13 S1
C10 H11 N1 O5,O1,1,10,11,6,1,0,0,0,1,0,0,C10 H11 N1 O6
C10 H11 N1 O5,H2 O2,1,10,13,7,1,0,0,2,2,0,0,C10 H13 N1 O7
C10 H11 N1 O5,-C1 -H3 O1 -N1,1,9,8,6,0,0,-1,-3,1,-1,0,C9 H8 O6
C10 H11 N1 O5,H2 O1,1,10,13,6,1,0,0,2,1,0,0,C10 H13 N1 O6
C10 H11 N1 O5,-H2 -O1,0,10,9,4,1,0,0,-2,-1,0,0,C10 H9 N1 O4
C27 H21 N1 O16,O1,1,27,21,17,1,0,0,0,1,0,0,C27 H21 N1 O17
C27 H21 N1 O16,-O1,0,27,21,15,1,0,0,0,-1,0,0,C27 H21 N1 O15
C27 H21 N1 O16,H2 O2,1,27,23,18,1,0,0,2,2,0,0,C27 H23 N1 O18
C27 H21 N1 O16,-C1 -H3 O1 -N1,1,26,18,17,0,0,-1,-3,1,-1,0,C26 H18 O17
C27 H21 N1 O16,H2 O1,1,27,23,17,1,0,0,2,1,0,0,C27 H23 N1 O17
C27 H21 N1 O16,-H2 -O1,0,27,19,15,1,0,0,-2,-1,0,0,C27 H19 N1 O15
C19 H20 N2 O18,-H2 -O1,0,19,18,17,2,0,0,-2,-1,0,0,C19 H18 N2 O17
C33 H26 O24,O1,1,33,26,25,0,0,0,0,1,0,0,C33 H26 O25
C33 H26 O24,-O1,0,33,26,23,0,0,0,0,-1,0,0,C33 H26 O23
C33 H26 O24,-H2 -O2,0,33,24,22,0,0,0,-2,-2,0,0,C33 H24 O22
C33 H26 O24,-H2 -O1,0,33,24,23,0,0,0,-2,-1,0,0,C33 H24 O23
C25 13C1 H22 O16,O1,1,25,22,17,0,0,0,0,1,0,0,C25 H22 O17
C25 13C1 H22 O16,-O1,0,25,22,15,0,0,0,0,-1,0,0,C25 H22 O15
C25 13C1 H22 O16,H2 O2,1,25,24,18,0,0,0,2,2,0,0,C25 H24 O18
C25 13C1 H22 O16,-H2 -O2,0,25,20,14,0,0,0,-2,-2,0,0,C25 H20 O14
C25 13C1 H22 O16,C1 H3 -O1 N1,0,26,25,15,1,0,1,3,-1,1,0,C26 H25 N1 O15
C25 13C1 H22 O16,H2 O1,1,25,24,17,0,0,0,2,1,0,0,C25 H24 O17
C25 13C1 H22 O16,-H2 -O1,0,25,20,15,0,0,0,-2,-1,0,0,C25 H20 O15
C26 H30 O19,-O1,0,26,30,18,0,0,0,0,-1,0,0,C26 H30 O18
C26 H30 O19,-H2 -O2,0,26,28,17,0,0,0,-2,-2,0,0,C26 H28 O17
C26 H30 O19,-H2 -O1,0,26,28,18,0,0,0,-2,-1,0,0,C26 H28 O18
C24 H20 O13,O1,1,24,20,14,0,0,0,0,1,0,0,C24 H20 O14
C24 H20 O13,-O1,0,24,20,12,0,0,0,0,-1,0,0,C24 H20 O12
C24 H20 O13,H2 O2,1,24,22,15,0,0,0,2,2,0,0,C24 H22 O15
C24 H20 O13,C1 H3 -O1 N1,0,25,23,12,1,0,1,3,-1,1,0,C25 H23 N1 O12
C24 H20 O13,H2 O1,1,24,22,14,0,0,0,2,1,0,0,C24 H22 O14
C24 H20 O13,-H2 -O1,0,24,18,12,0,0,0,-2,-1,0,0,C24 H18 O12
C23 13C1 H16 O15,O1,1,23,16,16,0,0,0,0,1,0,0,C23 H16 O16
C23 13C1 H16 O15,-O1,0,23,16,14,0,0,0,0,-1,0,0,C23 H16 O14
C23 13C1 H16 O15,H2 O2,1,23,18,17,0,0,0,2,2,0,0,C23 H18 O17
C23 13C1 H16 O15,-H2 -O2,0,23,14,13,0,0,0,-2,-2,0,0,C23 H14 O13
C23 13C1 H16 O15,C1 H3 -O1 N1,0,24,19,14,1,0,1,3,-1,1,0,C24 H19 N1 O14
C23 13C1 H16 O15,H2 O1,1,23,18,16,0,0,0,2,1,0,0,C23 H18 O16
C23 13C1 H16 O15,-H2 -O1,0,23,14,14,0,0,0,-2,-1,0,0,C23 H14 O14
C16 H20 O12,O1,1,16,20,13,0,0,0,0,1,0,0,C16 H20 O13
C16 H20 O12,-O1,0,16,20,11,0,0,0,0,-1,0,0,C16 H20 O11
C16 H20 O12,-H2 -O2,0,16,18,10,0,0,0,-2,-2,0,0,C16 H18 O10
C16 H20 O12,-H2 -O1,0,16,18,11,0,0,0,-2,-1,0,0,C16 H18 O11
C25 H14 O15,O1,1,25,14,16,0,0,0,0,1,0,0,C25 H14 O16
C25 H14 O15,-O1,0,25,14,14,0,0,0,0,-1,0,0,C25 H14 O14
C25 H14 O15,H2 O2,1,25,16,17,0,0,0,2,2,0,0,C25 H16 O17
C25 H14 O15,H2 O1,1,25,16,16,0,0,0,2,1,0,0,C25 H16 O16
C10 H8 O3,O1,1,10,8,4,0,0,0,0,1,0,0,C10 H8 O4
C10 H8 O3,-O1,0,10,8,2,0,0,0,0,-1,0,0,C10 H8 O2
C10 H8 O3,H2 O2,1,10,10,5,0,0,0,2,2,0,0,C10 H10 O5
C10 H8 O3,H2 O1,1,10,10,4,0,0,0,2,1,0,0,C10 H10 O4
C36 H72 O3,O1,1,36,72,4,0,0,0,0,1,0,0,C36 H72 O4
C36 H72 O3,-O1,0,36,72,2,0,0,0,0,-1,0,0,C36 H72 O2
C36 H72 O3,H2 O2,1,36,74,5,0,0,0,2,2,0,0,C36 H74 O5
C36 H72 O3,H2 O1,1,36,74,4,0,0,0,2,1,0,0,C36 H74 O4
C36 H72 O3,-H2 -O1,0,36,70,2,0,0,0,-2,-1,0,0,C36 H70 O2
C15 H16 O16 S1,-O1,0,15,16,15,0,1,0,0,-1,0,0,C15 H16 O15 S1
C15 H16 O16 S1,-H2 -O2,0,15,14,14,0,1,0,-2,-2,0,0,C15 H14 O14 S1
C15 H16 O16 S1,-H2 -O1,0,15,14,15,0,1,0,-2,-1,0,0,C15 H14 O15 S1
C13 13C1 H16 O9,O1,1,13,16,10,0,0,0,0,1,0,0,C13 H16 O10
C13 13C1 H16 O9,-O1,0,13,16,8,0,0,0,0,-1,0,0,C13 H16 O8
C13 13C1 H16 O9,H2 O2,1,13,18,11,0,0,0,2,2,0,0,C13 H18 O11
C13 13C1 H16 O9,-H2 -O2,0,13,14,7,0,0,0,-2,-2,0,0,C13 H14 O7
C13 13C1 H16 O9,C1 H3 -O1 N1,0,14,19,8,1,0,1,3,-1,1,0,C14 H19 N1 O8
C13 13C1 H16 O9,H2 O1,1,13,18,10,0,0,0,2,1,0,0,C13 H18 O10
C13 13C1 H16 O9,-H2 -O1,0,13,14,8,0,0,0,-2,-1,0,0,C13 H14 O8
C26 H28 O20,-O1,0,26,28,19,0,0,0,0,-1,0,0,C26 H28 O19
C26 H28 O20,-H2 -O2,0,26,26,18,0,0,0,-2,-2,0,0,C26 H26 O18
C26 H28 O20,-H2 -O1,0,26,26,19,0,0,0,-2,-1,0,0,C26 H26 O19
C27 H23 N1 O19 S1,O1,1,27,23,20,1,1,0,0,1,0,0,C27 H23 N1 O20 S1
C27 H23 N1 O19 S1,-O1,0,27,23,18,1,1,0,0,-1,0,0,C27 H23 N1 O18 S1
C27 H23 N1 O19 S1,-H2 -O1,0,27,21,18,1,1,0,-2,-1,0,0,C27 H21 N1 O18 S1
C25 H22 O19,O1,1,25,22,20,0,0,0,0,1,0,0,C25 H22 O20
C25 H22 O19,-O1,0,25,22,18,0,0,0,0,-1,0,0,C25 H22 O18
C25 H22 O19,-H2 -O2,0,25,20,17,0,0,0,-2,-2,0,0,C25 H20 O17
C25 H22 O19,C1 H3 -O1 N1,0,26,25,18,1,0,1,3,-1,1,0,C26 H25 N1 O18
C25 H22 O19,H2 O1,1,25,24,20,0,0,0,2,1,0,0,C25 H24 O20
C25 H22 O19,-H2 -O1,0,25,20,18,0,0,0,-2,-1,0,0,C25 H20 O18
C22 H26 O11,O1,1,22,26,12,0,0,0,0,1,0,0,C22 H26 O12
C22 H26 O11,-O1,0,22,26,10,0,0,0,0,-1,0,0,C22 H26 O10
C22 H26 O11,H2 O2,1,22,28,13,0,0,0,2,2,0,0,C22 H28 O13
C22 H26 O11,H2 O1,1,22,28,12,0,0,0,2,1,0,0,C22 H28 O12
C22 H26 O11,-H2 -O1,0,22,24,10,0,0,0,-2,-1,0,0,C22 H24 O10
C30 H18 O23,-O1,0,30,18,22,0,0,0,0,-1,0,0,C30 H18 O22
C30 H18 O23,-H2 -O2,0,30,16,21,0,0,0,-2,-2,0,0,C30 H16 O21
C30 H18 O23,-H2 -O1,0,30,16,22,0,0,0,-2,-1,0,0,C30 H16 O22
C18 13C1 H12 O14 S1,-O1,0,18,12,13,0,1,0,0,-1,0,0,C18 H12 O13 S1
C18 13C1 H12 O14 S1,H2 O1,1,18,14,15,0,1,0,2,1,0,0,C18 H14 O15 S1
C18 13C1 H12 O14 S1,-H2 -O1,0,18,10,13,0,1,0,-2,-1,0,0,C18 H10 O13 S1
C24 13C1 H20 O17,O1,1,24,20,18,0,0,0,0,1,0,0,C24 H20 O18
C24 13C1 H20 O17,-O1,0,24,20,16,0,0,0,0,-1,0,0,C24 H20 O16
C24 13C1 H20 O17,H2 O2,1,24,22,19,0,0,0,2,2,0,0,C24 H22 O19
C24 13C1 H20 O17,-H2 -O2,0,24,18,15,0,0,0,-2,-2,0,0,C24 H18 O15
C24 13C1 H20 O17,C1 H3 -O1 N1,0,25,23,16,1,0,1,3,-1,1,0,C25 H23 N1 O16
C24 13C1 H20 O17,H2 O1,1,24,22,18,0,0,0,2,1,0,0,C24 H22 O18
C24 13C1 H20 O17,-H2 -O1,0,24,18,16,0,0,0,-2,-1,0,0,C24 H18 O16
C11 13C1 H14 O7,O1,1,11,14,8,0,0,0,0,1,0,0,C11 H14 O8
C11 13C1 H14 O7,-O1,0,11,14,6,0,0,0,0,-1,0,0,C11 H14 O6
C11 13C1 H14 O7,H2 O2,1,11,16,9,0,0,0,2,2,0,0,C11 H16 O9
C11 13C1 H14 O7,-H2 -O2,0,11,12,5,0,0,0,-2,-2,0,0,C11 H12 O5
C11 13C1 H14 O7,C1 H3 -O1 N1,0,12,17,6,1,0,1,3,-1,1,0,C12 H17 N1 O6
C11 13C1 H14 O7,H2 O1,1,11,16,8,0,0,0,2,1,0,0,C11 H16 O8
C11 13C1 H14 O7,-H2 -O1,0,11,12,6,0,0,0,-2,-1,0,0,C11 H12 O6
C27 H14 O18,O1,1,27,14,19,0,0,0,0,1,0,0,C27 H14 O19
C27 H14 O18,-O1,0,27,14,17,0,0,0,0,-1,0,0,C27 H14 O17
C27 H14 O18,H2 O2,1,27,16,20,0,0,0,2,2,0,0,C27 H16 O20
C27 H14 O18,C1 H3 -O1 N1,0,28,17,17,1,0,1,3,-1,1,0,C28 H17 N1 O17
C27 H14 O18,H2 O1,1,27,16,19,0,0,0,2,1,0,0,C27 H16 O19
C18 13C1 H14 O13,O1,1,18,14,14,0,0,0,0,1,0,0,C18 H14 O14
C18 13C1 H14 O13,-O1,0,18,14,12,0,0,0,0,-1,0,0,C18 H14 O12
C18 13C1 H14 O13,H2 O2,1,18,16,15,0,0,0,2,2,0,0,C18 H16 O15
C18 13C1 H14 O13,-H2 -O2,0,18,12,11,0,0,0,-2,-2,0,0,C18 H12 O11
C18 13C1 H14 O13,C1 H3 -O1 N1,0,19,17,12,1,0,1,3,-1,1,0,C19 H17 N1 O12
C18 13C1 H14 O13,H2 O1,1,18,16,14,0,0,0,2,1,0,0,C18 H16 O14
C18 13C1 H14 O13,-H2 -O1,0,18,12,12,0,0,0,-2,-1,0,0,C18 H12 O12
C32 H36 O20,O1,1,32,36,21,0,0,0,0,1,0,0,C32 H36 O21
C32 H36 O20,-O1,0,32,36,19,0,0,0,0,-1,0,0,C32 H36 O19
C32 H36 O20,-H2 -O2,0,32,34,18,0,0,0,-2,-2,0,0,C32 H34 O18
C32 H36 O20,-H2 -O1,0,32,34,19,0,0,0,-2,-1,0,0,C32 H34 O19
C33 H22 N2 O19,O1,1,33,22,20,2,0,0,0,1,0,0,C33 H22 N2 O20
C33 H22 N2 O19,-O1,0,33,22,18,2,0,0,0,-1,0,0,C33 H22 N2 O18
C33 H22 N2 O19,-H2 -O1,0,33,20,18,2,0,0,-2,-1,0,0,C33 H20 N2 O18
C29 H19 N1 O21,-H2 -O2,0,29,17,19,1,0,0,-2,-2,0,0,C29 H17 N1 O19
C29 H19 N1 O21,-C1 -H3 O1 -N1,1,28,16,22,0,0,-1,-3,1,-1,0,C28 H16 O22
C29 H19 N1 O21,H2 O1,1,29,21,22,1,0,0,2,1,0,0,C29 H21 N1 O22
C14 H14 O6,O1,1,14,14,7,0,0,0,0,1,0,0,C14 H14 O7
C14 H14 O6,-O1,0,14,14,5,0,0,0,0,-1,0,0,C14 H14 O5
C14 H14 O6,H2 O2,1,14,16,8,0,0,0,2,2,0,0,C14 H16 O8
C14 H14 O6,-H2 -O2,0,14,12,4,0,0,0,-2,-2,0,0,C14 H12 O4
