formula_string,C,H,O,N,S
C15 H12 O16 S1,15,12,16,0,1
C26 H26 O13,26,26,13,0,0
C25 H24 O17,25,24,17,0,0
C16 H6 O4 S1,16,6,4,0,1
C13 13C1 H18 O9,13,18,9,0,0
C23 13C1 H20 O19,23,20,19,0,0
C30 H30 N2 O27 S1,30,30,27,2,1
C24 H14 O14,24,14,14,0,0
C15 H12 O13,15,12,13,0,0
C11 H10 O10,11,10,10,0,0
C17 H22 O11,17,22,11,0,0
C25 13C1 H18 N2 O20,25,18,20,2,0
C27 H21 N1 O18 S1,27,21,18,1,1
C35 H71 N1,35,71,0,1,0
C16 H15 N1 O12 S1,16,15,12,1,1
C16 H12 O8,16,12,8,0,0
C23 H14 O18,23,14,18,0,0
C33 H26 O22,33,26,22,0,0
C32 H28 N2 O24 S1,32,28,24,2,1
C21 H20 O15,21,20,15,0,0
C15 H18 N2 O9,15,18,9,2,0
C33 H28 O23,33,28,23,0,0
C13 H7 N1 O10,13,7,10,1,0
C27 13C1 H20 O19,27,20,19,0,0
C26 H17 N1 O18,26,17,18,1,0
C39 H74 O4,39,74,4,0,0
C17 H18 O17 S1,17,18,17,0,1
C38 H73 N1 O3,38,73,3,1,0
C13 H8 O8,13,8,8,0,0
C19 H14 N2 O18,19,14,18,2,0
C10 13C1 H14 O7,10,14,7,0,0
C26 13C1 H22 O15,26,22,15,0,0
C14 H12 O3,14,12,3,0,0
C21 13C1 H12 O15,21,12,15,0,0
C36 13C1 H72 N2 O3,36,72,3,2,0
C27 H21 N1 O17,27,21,17,1,0
C16 H14 O16 S1,16,14,16,0,1
C26 H21 N1 O15,26,21,15,1,0
C20 H14 O16,20,14,16,0,0
C25 H17 N1 O15,25,17,15,1,0
C23 13C1 H14 O18,23,14,18,0,0
C19 13C1 H18 O13,19,18,13,0,0
C30 13C1 H22 O19,30,22,19,0,0
C22 H18 O15,22,18,15,0,0
C28 H28 O22,28,28,22,0,0
C17 H16 O11,17,16,11,0,0
C32 H22 O24,32,22,24,0,0
C37 H28 O23,37,28,23,0,0
C42 H76 O5,42,76,5,0,0
C16 H12 O12,16,12,12,0,0
C30 H28 O18,30,28,18,0,0
C22 H11 N1 O16 S1,22,11,16,1,1
C27 H24 N2 O25 S1,27,24,25,2,1
C22 H21 N1 O13,22,21,13,1,0
C16 H18 N2 O8,16,18,8,2,0
C18 13C1 H10 O15,18,10,15,0,0
C20 H16 O12,20,16,12,0,0
C19 H16 N2 O19,19,16,19,2,0
C30 H24 O21,30,24,21,0,0
C17 H19 N1 O9,17,19,9,1,0
C16 H13 N1 O12,16,13,12,1,0
C10 H10 O9,10,10,9,0,0
C11 H9 N1 O8,11,9,8,1,0
C21 13C1 H14 O15,21,14,15,0,0
C25 H20 O14,25,20,14,0,0
C27 13C1 H26 O20,27,26,20,0,0
C11 H15 N1 O7,11,15,7,1,0
C12 H10 O9,12,10,9,0,0
C35 H36 O22,35,36,22,0,0
C16 H26 N2 O14 S1,16,26,14,2,1
C24 H22 O12,24,22,12,0,0
C22 H23 N1 O18 S1,22,23,18,1,1
C30 H23 N1 O17,30,23,17,1,0
C12 H14 O6,12,14,6,0,0
C25 H26 N2 O23 S1,25,26,23,2,1
C33 H22 O21,33,22,21,0,0
C22 H30 N2 O19 S1,22,30,19,2,1
C30 H26 O17,30,26,17,0,0
C23 H12 O16,23,12,16,0,0
C24 13C1 H26 O19,24,26,19,0,0
C33 13C1 H26 O22,33,26,22,0,0
C32 13C1 H28 O21,32,28,21,0,0
C12 H14 O11,12,14,11,0,0
C20 H21 N1 O13,20,21,13,1,0
C28 H30 O16,28,30,16,0,0
C16 H12 O13 S1,16,12,13,0,1
C9 H9 N1 O5,9,9,5,1,0
C11 H13 N1 O7,11,13,7,1,0
C39 H74 O5,39,74,5,0,0
C28 H22 O15,28,22,15,0,0
C25 13C1 H20 O19,25,20,19,0,0
C30 H16 O18,30,16,18,0,0
C15 H9 N1 O11,15,9,11,1,0
C13 H20 O6,13,20,6,0,0
C20 13C1 H15 N1 O21,20,15,21,1,0
C19 H16 O13,19,16,13,0,0
C26 13C1 H26 O16,26,26,16,0,0
C22 H24 O14,22,24,14,0,0
C26 H32 O16,26,32,16,0,0
C28 H11 N1 O19,28,11,19,1,0
C18 H21 N1 O10,18,21,10,1,0
C37 H30 O22 S1,37,30,22,0,1
C11 H11 N1 O5,11,11,5,1,0
C42 H79 N1 O6 S1,42,79,6,1,1
C19 H22 O15,19,22,15,0,0
C39 H78 O10,39,78,10,0,0
C25 H26 O17,25,26,17,0,0
C17 H18 O12,17,18,12,0,0
C25 H28 O15,25,28,15,0,0
C20 H12 O14,20,12,14,0,0
C23 13C1 H18 O16,23,18,16,0,0
C12 H9 N1 O8,12,9,8,1,0
C21 H24 O15,21,24,15,0,0
C23 H16 O16,23,16,16,0,0
C16 H14 O11,16,14,11,0,0
C11 H12 O5,11,12,5,0,0
C23 13C1 H28 N2 O21 S1,23,28,21,2,1
C31 13C1 H24 O19,31,24,19,0,0
C29 13C1 H18 O19,29,18,19,0,0
C32 H26 O25,32,26,25,0,0
C25 H26 O14,25,26,14,0,0
C27 13C1 H26 O22,27,26,22,0,0
C15 13C1 H18 O8,15,18,8,0,0
C22 H20 O15,22,20,15,0,0
C21 H8 N2 O13,21,8,13,2,0
C24 H28 O19,24,28,19,0,0
C41 H70 N2 O3,41,70,3,2,0
C30 H32 O22,30,32,22,0,0
C19 H12 O10 S1,19,12,10,0,1
C16 H11 N1 O9,16,11,9,1,0
C8 H8 O7,8,8,7,0,0
C16 H19 N1 O8,16,19,8,1,0
C24 H20 O14,24,20,14,0,0
C15 H10 O11,15,10,11,0,0
C21 H18 N2 O11,21,18,11,2,0
C15 13C1 H12 O13,15,12,13,0,0
C15 13C1 H18 O11,15,18,11,0,0
C13 13C1 H8 O10,13,8,10,0,0
C24 H26 O19,24,26,19,0,0
C24 H23 N1 O17,24,23,17,1,0
C17 H22 O8,17,22,8,0,0
C13 H14 O7,13,14,7,0,0
C42 H80 O6,42,80,6,0,0
C18 H12 N2 O19 S1,18,12,19,2,1
C26 H8 O17,26,8,17,0,0
C26 H26 O15,26,26,15,0,0
C38 H70 N2 O2,38,70,2,2,0
C20 13C1 H24 O11,20,24,11,0,0
C26 13C1 H28 O17,26,28,17,0,0
C37 H33 N1 O31,37,33,31,1,0
C33 H20 O24,33,20,24,0,0
C14 H15 N1 O10,14,15,10,1,0
C12 H6 O10,12,6,10,0,0
C23 H26 O18,23,26,18,0,0
C12 H15 N1 O6,12,15,6,1,0
C21 H18 O12,21,18,12,0,0
C27 H30 O19,27,30,19,0,0
C22 13C1 H12 O17,22,12,17,0,0
C23 H28 O18,23,28,18,0,0
C31 H28 O24,31,28,24,0,0
C20 13C1 H14 O14,20,14,14,0,0
C19 H19 N1 O10,19,19,10,1,0
C17 13C1 H18 O12,17,18,12,0,0
C17 H20 O10,17,20,10,0,0
C15 H14 O10,15,14,10,0,0
C24 H16 O16,24,16,16,0,0
C27 13C1 H24 O22,27,24,22,0,0
C25 H16 O20,25,16,20,0,0
C19 H16 O10,19,16,10,0,0
C25 H16 N2 O13 S1,25,16,13,2,1
C28 H15 N1 O16 S1,28,15,16,1,1
C13 H18 O7,13,18,7,0,0
C35 H24 O22,35,24,22,0,0
C20 H22 O13,20,22,13,0,0
C26 13C1 H28 O16,26,28,16,0,0
C38 H76 N2 O8,38,76,8,2,0
C31 H29 N1 O21 34S1,31,29,21,1,0
C19 H15 N1 O17 S1,19,15,17,1,1
C29 H21 N1 O22 S1,29,21,22,1,1
C21 H15 N1 O15,21,15,15,1,0
C13 H10 O7,13,10,7,0,0
C26 H25 N1 O18,26,25,18,1,0
C13 13C1 H10 O10,13,10,10,0,0
C40 H78 O2 S1,40,78,2,0,1
C34 H20 O22,34,20,22,0,0
C47 H75 N1 O1,47,75,1,1,0
C22 H16 O17,22,16,17,0,0
C31 H20 O18 S1,31,20,18,0,1
C15 H12 O11,15,12,11,0,0
C28 13C1 H18 O18,28,18,18,0,0
C24 H26 O16,24,26,16,0,0
C28 H25 N1 O17 S1 34S1,28,25,17,1,1
C27 H23 N1 O20 S1,27,23,20,1,1
C36 H72 O5,36,72,5,0,0
C32 H24 N2 O23,32,24,23,2,0
C30 H16 N2 O19,30,16,19,2,0
C18 13C1 H20 O13,18,20,13,0,0
C13 13C1 H16 N2 O16 S1,13,16,16,2,1
C21 13C1 H12 O14,21,12,14,0,0
C20 H15 N1 O21,20,15,21,1,0
C15 H12 O12 S1,15,12,12,0,1
C21 H25 N1 O17 S1,21,25,17,1,1
C34 H30 O23,34,30,23,0,0
C34 H22 N2 O19,34,22,19,2,0
C27 H27 N1 O24,27,27,24,1,0
C22 13C1 H20 O14,22,20,14,0,0
C26 13C1 H24 O15,26,24,15,0,0
C38 H30 O26,38,30,26,0,0
C33 13C1 H26 O23,33,26,23,0,0
C12 H10 O5,12,10,5,0,0
C13 H12 O3,13,12,3,0,0
C43 H72 N2 O3,43,72,3,2,0
C13 H8 O9,13,8,9,0,0
C30 H24 O23,30,24,23,0,0
C18 H10 O10,18,10,10,0,0
C27 H17 N1 O14 S1,27,17,14,1,1
C39 H80 O8 S1,39,80,8,0,1
C30 H22 O17,30,22,17,0,0
C31 H23 N1 O23,31,23,23,1,0
C24 H12 O15,24,12,15,0,0
C6 13C1 H10 O5,6,10,5,0,0
C19 13C1 H20 O15,19,20,15,0,0
C32 H30 O24,32,30,24,0,0
C19 H13 N1 O11,19,13,11,1,0
C19 H16 O16,19,16,16,0,0
C22 13C1 H14 O14,22,14,14,0,0
C20 H20 O12,20,20,12,0,0
C20 H18 O11,20,18,11,0,0
C17 H16 O7,17,16,7,0,0
C23 H16 N2 O19,23,16,19,2,0
C30 13C1 H26 O19,30,26,19,0,0
C24 H18 N2 O19,24,18,19,2,0
C18 13C1 H16 O14,18,16,14,0,0
C9 H8 O5,9,8,5,0,0
C27 H24 O19,27,24,19,0,0
C28 13C1 H26 O18,28,26,18,0,0
C16 H16 O15 S1,16,16,15,0,1
C25 13C1 H12 O17,25,12,17,0,0
C21 H18 N2 O21,21,18,21,2,0
C24 H12 N2 O23,24,12,23,2,0
C29 13C1 H28 O20,29,28,20,0,0
C29 13C1 H30 O20,29,30,20,0,0
C26 H14 O20,26,14,20,0,0
C11 H4 O8,11,4,8,0,0
C16 H11 N1 O8,16,11,8,1,0
C26 H18 O20,26,18,20,0,0
C24 H30 O15,24,30,15,0,0
C17 13C1 H16 O14,17,16,14,0,0
C14 H14 O12,14,14,12,0,0
C24 13C1 H24 O19,24,24,19,0,0
C35 H71 N1 O4,35,71,4,1,0
C14 H12 O11,14,12,11,0,0
C37 H74 O4,37,74,4,0,0
C27 H19 N1 O16,27,19,16,1,0
C12 H11 N1 O8,12,11,8,1,0
C34 H24 O20,34,24,20,0,0
C34 H22 N2 O19 S1,34,22,19,2,1
C36 H74 O3,36,74,3,0,0
C29 H30 O21,29,30,21,0,0
C30 H28 O20,30,28,20,0,0
C30 H32 O19,30,32,19,0,0
C20 H17 N1 O12,20,17,12,1,0
C21 H15 N1 O9 S1,21,15,9,1,1
C26 13C1 H12 O19,26,12,19,0,0
C32 13C1 H30 O22,32,30,22,0,0
C20 13C1 H10 O14,20,10,14,0,0
C21 13C1 H16 O12,21,16,12,0,0
C21 H21 N1 O17 34S1,21,21,17,1,0
C38 H29 N1 O22 S1,38,29,22,1,1
C26 13C1 H16 O21,26,16,21,0,0
C18 H18 N2 O11 S1 34S1,18,18,11,2,1
C13 H16 O7,13,16,7,0,0
C18 13C1 H18 O15,18,18,15,0,0
C30 H21 N1 O18 S1,30,21,18,1,1
C10 H7 N1 O7,10,7,7,1,0
C14 H10 O6,14,10,6,0,0
C26 H16 N2 O25 S1,26,16,25,2,1
C41 H80 O3 S1,41,80,3,0,1
C29 H28 N2 O22 S1,29,28,22,2,1
C10 H8 O4,10,8,4,0,0
C24 H15 N1 O12 S1,24,15,12,1,1
C19 13C1 H14 O12,19,14,12,0,0
C17 H20 O13,17,20,13,0,0
C19 13C1 H22 O11,19,22,11,0,0
C22 H17 N1 O13 S1,22,17,13,1,1
C13 H20 O10,13,20,10,0,0
C26 H28 O13,26,28,13,0,0
C9 13C1 H12 O8,9,12,8,0,0
C16 13C1 H18 O11,16,18,11,0,0
C31 H20 O18,31,20,18,0,0
C21 H38 O4,21,38,4,0,0
C12 H15 N1 O8,12,15,8,1,0
C17 H14 O10 S1,17,14,10,0,1
C36 H30 O24,36,30,24,0,0
C23 H26 O13,23,26,13,0,0
C16 H9 N1 O13,16,9,13,1,0
C38 H74 O4,38,74,4,0,0
C36 H74 O2,36,74,2,0,0
C27 H16 O20,27,16,20,0,0
C37 H30 O24,37,30,24,0,0
C17 H8 O15,17,8,15,0,0
C26 13C1 H18 O19,26,18,19,0,0
C23 H17 N1 O21,23,17,21,1,0
C14 H12 O8,14,12,8,0,0
C22 H24 N2 O22 S1,22,24,22,2,1
C30 H20 O20,30,20,20,0,0
C37 H74 N2,37,74,0,2,0
C13 13C1 H8 O11,13,8,11,0,0
C12 H8 O11,12,8,11,0,0
C15 H10 O3 S1,15,10,3,0,1
C40 H76 O6,40,76,6,0,0
C25 13C1 H22 O21,25,22,21,0,0
C19 H10 O11,19,10,11,0,0
C17 13C1 H20 O10,17,20,10,0,0
C31 H23 N1 O20,31,23,20,1,0
C21 H16 O11,21,16,11,0,0
C26 H26 N2 O22 S1,26,26,22,2,1
C34 H22 O20,34,22,20,0,0
C15 13C1 H16 O13,15,16,13,0,0
C34 H69 N1,34,69,0,1,0
C26 H14 N2 O17,26,14,17,2,0
C13 H17 N1 O11 S1 34S1,13,17,11,1,1
C27 H20 O15,27,20,15,0,0
C36 H70 N2 O6,36,70,6,2,0
C29 H26 O22,29,26,22,0,0
C15 H8 O7,15,8,7,0,0
C20 H14 O18,20,14,18,0,0
C6 H9 N1 O7,6,9,7,1,0
C37 H76 O2 S1,37,76,2,0,1
C20 H14 O11,20,14,11,0,0
C38 H30 O23,38,30,23,0,0
C11 H10 O3,11,10,3,0,0
C40 H76 N2 O3,40,76,3,2,0
C26 H27 N1 O24,26,27,24,1,0
C39 H32 O24,39,32,24,0,0
C21 H12 O14 S1,21,12,14,0,1
C26 H18 O16,26,18,16,0,0
C24 13C1 H12 O18,24,12,18,0,0
C17 H10 O10,17,10,10,0,0
C39 H76 S1 34S1,39,76,0,0,1
C43 H75 N1 O2 S1,43,75,2,1,1
C18 H18 O15,18,18,15,0,0
C19 H12 O16 S1,19,12,16,0,1
C20 13C1 H20 N2 O23 S1,20,20,23,2,1
C28 13C1 H16 O21,28,16,21,0,0
C26 13C1 H22 O21,26,22,21,0,0
C20 13C1 H22 O12,20,22,12,0,0
C29 H23 N1 O20 34S1,29,23,20,1,0
C32 H21 N1 O18 S1,32,21,18,1,1
C26 H18 N2 O20,26,18,20,2,0
C33 H25 N1 O22,33,25,22,1,0
C12 13C1 H14 O11,12,14,11,0,0
C46 H73 N1 O2,46,73,2,1,0
C18 H20 O12,18,20,12,0,0
C40 H74 O2 34S1,40,74,2,0,0
C26 13C1 H28 O21,26,28,21,0,0
C20 H14 O9 S1,20,14,9,0,1
C30 H16 N2 O14 S1,30,16,14,2,1
C15 H10 O2 S1,15,10,2,0,1
C17 H13 N1 O11 S1,17,13,11,1,1
C37 H72 O2,37,72,2,0,0
C38 H74 O5,38,74,5,0,0
C21 H10 N2 O17,21,10,17,2,0
C19 H18 O11,19,18,11,0,0
C10 H8 O8,10,8,8,0,0
C29 H30 O20,29,30,20,0,0
C17 H12 O8,17,12,8,0,0
C20 13C1 H16 O13,20,16,13,0,0
C30 H18 O18,30,18,18,0,0
C21 13C1 H10 O14,21,10,14,0,0
C23 H8 N2 O23,23,8,23,2,0
C23 13C1 H22 O19,23,22,19,0,0
C28 13C1 H20 O20,28,20,20,0,0
C31 H18 O19,31,18,19,0,0
C12 H12 O13 S1,12,12,13,0,1
C27 H24 O15,27,24,15,0,0
C28 H22 O17 S1,28,22,17,0,1
C27 H23 N1 O18,27,23,18,1,0
C29 H24 O19,29,24,19,0,0
C9 H10 O6,9,10,6,0,0
C11 H14 O10,11,14,10,0,0
C29 H25 N1 O19 S1,29,25,19,1,1
C18 13C1 H8 O13,18,8,13,0,0
C17 H19 N1 O18 S1,17,19,18,1,1
C25 13C1 H18 O19,25,18,19,0,0
C19 H22 O12,19,22,12,0,0
C24 H20 O23 S1,24,20,23,0,1
C18 H8 O12,18,8,12,0,0
C8 H7 N1 O5,8,7,5,1,0
C12 H14 O9,12,14,9,0,0
C20 H22 O9,20,22,9,0,0
C19 13C1 H20 O12,19,20,12,0,0
C21 H15 N1 O11,21,15,11,1,0
C29 H25 N1 O17 S1,29,25,17,1,1
C18 H22 O9,18,22,9,0,0
C18 H20 O8,18,20,8,0,0
C31 H20 O25,31,20,25,0,0
C28 H21 N1 O19 S1,28,21,19,1,1
C11 13C1 H8 O8,11,8,8,0,0
C43 H74 O7,43,74,7,0,0
C45 H76 O4,45,76,4,0,0
C33 H26 O25,33,26,25,0,0
C28 H22 O21,28,22,21,0,0
C30 H23 N1 O19,30,23,19,1,0
C14 H6 O9,14,6,9,0,0
C19 H21 N1 O11,19,21,11,1,0
C27 H20 O24,27,20,24,0,0
C19 H17 N1 O12,19,17,12,1,0
C20 13C1 H20 O16,20,20,16,0,0
C16 H13 N1 O9,16,13,9,1,0
C9 H7 N1 O9 S1,9,7,9,1,1
C24 13C1 H22 O19,24,22,19,0,0
C17 H14 O14,17,14,14,0,0
C34 H32 O24,34,32,24,0,0
C18 H21 N1 O19 34S1,18,21,19,1,0
C19 13C1 H16 N2 O19,19,16,19,2,0
C30 H30 O19,30,30,19,0,0
C28 H18 O11 S1 34S1,28,18,11,0,1
C18 H16 N2 O21,18,16,21,2,0
C30 H30 O16,30,30,16,0,0
C14 H16 O10,14,16,10,0,0
C23 13C1 H26 N2 O22 S1,23,26,22,2,1
C31 13C1 H22 O20,31,22,20,0,0
C28 H18 O19,28,18,19,0,0
C29 H20 O23,29,20,23,0,0
C20 H10 N2 O10,20,10,10,2,0
C27 13C1 H24 O18,27,24,18,0,0
C30 13C1 H24 O18,30,24,18,0,0
C27 H20 O21,27,20,21,0,0
C24 13C1 H22 O18,24,22,18,0,0
C14 H7 N1 O9,14,7,9,1,0
C18 H21 N1 O9,18,21,9,1,0
C25 H17 N1 O16,25,17,16,1,0
C27 H19 N1 O15,27,19,15,1,0
C20 H26 O15,20,26,15,0,0
C34 H64 O7,34,64,7,0,0
C31 13C1 H28 O20,31,28,20,0,0
C13 H15 N1 O8,13,15,8,1,0
C20 13C1 H20 O12,20,20,12,0,0
C20 H8 O7 S1,20,8,7,0,1
C36 H28 O21 S1,36,28,21,0,1
C21 H10 O16,21,10,16,0,0
C15 13C1 H14 O8,15,14,8,0,0
C21 H20 N2 O17,21,20,17,2,0
C24 13C1 H16 O15,24,16,15,0,0
C20 H8 N2 O10,20,8,10,2,0
C21 13C1 H20 O14,21,20,14,0,0
C20 H13 N1 O10 S1,20,13,10,1,1
C16 H14 O9,16,14,9,0,0
C14 H12 O13 S1,14,12,13,0,1
C21 H14 O5 S1,21,14,5,0,1
C12 13C1 H6 O11,12,6,11,0,0
C18 H15 N1 O19 S1,18,15,19,1,1
C26 H17 N1 O16,26,17,16,1,0
C25 13C1 H22 O15,25,22,15,0,0
C35 H72 O3,35,72,3,0,0
C34 H70 O3,34,70,3,0,0
C29 H20 O19,29,20,19,0,0
C27 H26 O21,27,26,21,0,0
C18 H14 O15,18,14,15,0,0
C27 H21 N1 O15,27,21,15,1,0
C29 H34 N2 O24 S1,29,34,24,2,1
C37 H30 O22,37,30,22,0,0
C20 13C1 H12 O15,20,12,15,0,0
C33 H30 O22,33,30,22,0,0
C23 13C1 H16 O17,23,16,17,0,0
C11 H6 O4,11,6,4,0,0
C16 13C1 H20 O14,16,20,14,0,0
C41 H68 O2,41,68,2,0,0
C44 H71 N1,44,71,0,1,0
C24 H18 N2 O18 S1,24,18,18,2,1
C19 H10 O13,19,10,13,0,0
C24 H13 N1 O17,24,13,17,1,0
C20 H13 N1 O14,20,13,14,1,0
C17 13C1 H20 O13,17,20,13,0,0
C16 13C1 H22 O10,16,22,10,0,0
C17 H10 O13,17,10,13,0,0
C14 H14 O7,14,14,7,0,0
C16 13C1 H18 O9,16,18,9,0,0
C29 H24 O22,29,24,22,0,0
C26 13C1 H18 O22,26,18,22,0,0
C27 H28 N2 O23 S1,27,28,23,2,1
C22 H24 O12,22,24,12,0,0
C18 H10 O15,18,10,15,0,0
C21 13C1 H16 O13,21,16,13,0,0
C16 H18 N2 O9,16,18,9,2,0
C20 13C1 H12 O13,20,12,13,0,0
C47 H80 O4 S1,47,80,4,0,1
C34 H30 O21,34,30,21,0,0
C8 H6 O7 S1,8,6,7,0,1
C35 H30 O21,35,30,21,0,0
C11 13C1 H16 O9,11,16,9,0,0
C26 H16 O15,26,16,15,0,0
C33 H30 O21,33,30,21,0,0
C26 H13 N1 O16,26,13,16,1,0
C9 13C1 H10 O7,9,10,7,0,0
C29 H28 O19,29,28,19,0,0
C17 H19 N1 O10,17,19,10,1,0
C19 H16 O10 S1,19,16,10,0,1
C24 H17 N1 O14,24,17,14,1,0
C28 H30 O19,28,30,19,0,0
C43 H78 O6 S1,43,78,6,0,1
C17 H24 O9,17,24,9,0,0
C16 H11 N1 O12,16,11,12,1,0
C28 H12 O19,28,12,19,0,0
C31 H16 O20 S1,31,16,20,0,1
C26 H10 N2 O15,26,10,15,2,0
C22 H26 O12,22,26,12,0,0
C33 H19 N1 O18 S1,33,19,18,1,1
C31 H30 O22,31,30,22,0,0
C24 13C1 H18 O19,24,18,19,0,0
C20 H18 O16,20,18,16,0,0
C19 H18 N2 O14 S1 34S1,19,18,14,2,1
C25 H23 N1 O24,25,23,24,1,0
C20 H22 O11,20,22,11,0,0
C18 H11 N1 O12,18,11,12,1,0
C31 13C1 H26 O25,31,26,25,0,0
C12 H6 O5,12,6,5,0,0
C23 H16 N2 O21,23,16,21,2,0
C35 H30 O25,35,30,25,0,0
C10 13C1 H14 O9,10,14,9,0,0
C21 13C1 H22 O14,21,22,14,0,0
C14 H16 N2 O7,14,16,7,2,0
C35 H72 O5,35,72,5,0,0
C23 H30 O15,23,30,15,0,0
C14 H17 N1 O7,14,17,7,1,0
C19 H16 O17,19,16,17,0,0
C27 H23 N1 O26,27,23,26,1,0
C18 H10 O14,18,10,14,0,0
C40 H67 N1 O9 S1,40,67,9,1,1
C14 H14 O10,14,14,10,0,0
C21 13C1 H20 O13,21,20,13,0,0
C10 H10 O4,10,10,4,0,0
C24 H25 N1 O14,24,25,14,1,0
C29 13C1 H26 O18,29,26,18,0,0
C34 H70 O1,34,70,1,0,0
C20 H13 N1 O17 S1,20,13,17,1,1
C28 13C1 H22 O19,28,22,19,0,0
C16 H20 O9,16,20,9,0,0
C21 H26 O10,21,26,10,0,0
C12 H14 O10,12,14,10,0,0
C11 H7 N1 O5,11,7,5,1,0
C16 13C1 H22 O11,16,22,11,0,0
C17 H19 N1 O18 34S1,17,19,18,1,0
C31 13C1 H26 O21,31,26,21,0,0
C18 13C1 H20 O16,18,20,16,0,0
C29 13C1 H26 O20,29,26,20,0,0
C17 13C1 H22 O12,17,22,12,0,0
C11 H4 N2 O2,11,4,2,2,0
C29 13C1 H20 O22,29,20,22,0,0
C14 H6 O10,14,6,10,0,0
C26 13C1 H20 O19,26,20,19,0,0
C23 H19 N1 O16,23,19,16,1,0
C9 13C1 H10 O6,9,10,6,0,0
C21 H23 N1 O14,21,23,14,1,0
C27 H10 N2 O20,27,10,20,2,0
C29 H24 O18,29,24,18,0,0
C21 H16 N2 O19,21,16,19,2,0
C42 H72 S1,42,72,0,0,1
C27 13C1 H28 O21,27,28,21,0,0
C8 H11 N1 O5,8,11,5,1,0
C11 H11 N1 O6,11,11,6,1,0
C27 H14 O17,27,14,17,0,0
C21 H18 N2 O12 S1 34S1,21,18,12,2,1
C30 13C1 H28 O20,30,28,20,0,0
C25 13C1 H24 O16,25,24,16,0,0
C43 H72 O1,43,72,1,0,0
C20 H12 O15,20,12,15,0,0
C28 H28 O21,28,28,21,0,0
C19 H21 N1 O12,19,21,12,1,0
C36 H26 O25,36,26,25,0,0
C28 H20 O16,28,20,16,0,0
C34 H30 O25,34,30,25,0,0
C23 H22 O22 S1,23,22,22,0,1
C38 H74 O2 S1,38,74,2,0,1
C26 H15 N1 O17,26,15,17,1,0
C21 H22 O12,21,22,12,0,0
C39 H76 O4,39,76,4,0,0
C38 H74 N2 O3 S1,38,74,3,2,1
C22 H22 O11,22,22,11,0,0
C36 H30 O23,36,30,23,0,0
C21 H18 O17,21,18,17,0,0
C31 H18 N2 O19,31,18,19,2,0
C22 13C1 H18 O13,22,18,13,0,0
C23 H24 O17,23,24,17,0,0
C41 H77 N1 O4 S1,41,77,4,1,1
C25 H28 N2 O21 S1,25,28,21,2,1
C33 H24 O19,33,24,19,0,0
C22 H18 N2 O21,22,18,21,2,0
C16 H14 O8,16,14,8,0,0
C27 H24 N2 O20 S1,27,24,20,2,1
C36 H28 O25,36,28,25,0,0
C22 H22 O18,22,22,18,0,0
C10 13C1 H12 O9,10,12,9,0,0
C26 13C1 H26 N2 O24 S1,26,26,24,2,1
C12 H11 N1 O9,12,11,9,1,0
C21 H14 O7 S1,21,14,7,0,1
C25 H20 O19,25,20,19,0,0
C23 H26 O15,23,26,15,0,0
C30 H20 N2 O17,30,20,17,2,0
C32 H18 O20,32,18,20,0,0
C40 H78 O3 S1,40,78,3,0,1
C33 H28 O22,33,28,22,0,0
C17 H19 N1 O12,17,19,12,1,0
C14 13C1 H12 O9,14,12,9,0,0
C23 H28 O16,23,28,16,0,0
C30 13C1 H20 O19,30,20,19,0,0
C27 H14 N2 O20,27,14,20,2,0
C12 H7 N1 O7,12,7,7,1,0
C20 H14 O4 S1,20,14,4,0,1
C28 H26 O14,28,26,14,0,0
C23 H16 O18,23,16,18,0,0
C14 H12 O10 S1,14,12,10,0,1
C36 H74 O4,36,74,4,0,0
C23 13C1 H14 O16,23,14,16,0,0
C28 H32 O19,28,32,19,0,0
C31 H34 O20,31,34,20,0,0
C18 H16 O19 S1,18,16,19,0,1
C22 H14 O15,22,14,15,0,0
C26 H22 O21,26,22,21,0,0
C31 13C1 H22 O23,31,22,23,0,0
C26 H26 N2 O25 S1,26,26,25,2,1
C34 H22 O23,34,22,23,0,0
C27 H20 O20,27,20,20,0,0
C37 H70 N2 O6,37,70,6,2,0
C27 H18 O15,27,18,15,0,0
C34 H23 N1 O20 S1,34,23,20,1,1
C23 H30 O16,23,30,16,0,0
C33 H34 O23,33,34,23,0,0
C30 H30 O18,30,30,18,0,0
C16 H18 O10,16,18,10,0,0
C18 13C1 H12 O13,18,12,13,0,0
C18 H24 O8,18,24,8,0,0
C18 H12 O14,18,12,14,0,0
C24 H26 O18,24,26,18,0,0
C16 H10 O2 S1,16,10,2,0,1
C27 H22 O20,27,22,20,0,0
C27 13C1 H22 O17,27,22,17,0,0
C16 H13 N1 O7,16,13,7,1,0
C44 H80 O8,44,80,8,0,0
C33 H26 O23,33,26,23,0,0
C17 13C1 H14 N2 O20,17,14,20,2,0
C19 H17 N1 O18 S1,19,17,18,1,1
C19 H10 O12,19,10,12,0,0
C15 H8 O13,15,8,13,0,0
C18 13C1 H14 O14,18,14,14,0,0
C18 H20 O11,18,20,11,0,0
C35 13C1 H30 O24,35,30,24,0,0
C28 13C1 H28 O20,28,28,20,0,0
C18 H22 O14,18,22,14,0,0
C16 H18 O12,16,18,12,0,0
C24 13C1 H26 O16,24,26,16,0,0
C14 H18 O12,14,18,12,0,0
C32 H30 O23,32,30,23,0,0
C14 13C1 H8 O10,14,8,10,0,0
